ArcticDEM Mosaic Tile Metadata 
Creation Date: 12-Dec-2016 09:21:08
Version: 2.1

Mosaicking Alignment Statistics (meters) in rank order
strip, rmse, dz, dx, dy
WV01_20150427_102001003D497000_102001003A672900_seg1_2m 0.00 0.0000 0.0000 0.0000
WV02_20130302_103001001FAC1400_1030010020837A00_seg1_2m 0.35 -2.1826 -1.2445 0.8171
WV01_20120301_1020010019E59D00_102001001A427300_seg1_2m 0.25 4.0625 -1.5225 3.1204
WV01_20130213_102001001F9A7D00_1020010020972800_seg1_2m 0.28 0.2346 -0.0000 -0.0000
WV01_20140228_102001002C5A5B00_102001002A23A500_seg1_2m 0.21 -2.6604 -0.9171 -2.6512
WV02_20140228_103001002D3F6200_103001002E200F00_seg1_2m 0.18 -0.1163 -0.0000 -0.0000
WV03_20150302_10400100082ABC00_10400100088AE000_seg1_2m 0.17 -1.4491 2.1642 -5.1807
WV01_20140428_102001002DCE2000_102001002A062E00_seg1_2m 0.49 -7.4721 -0.1341 0.4815
WV02_20130212_103001001F058300_1030010020330B00_seg1_2m 0.20 -3.5965 -2.6903 -4.5856
WV02_20150301_103001003E2E3A00_103001003D2ADB00_seg1_2m 0.34 -4.7648 -0.0000 -0.0000
WV03_20150405_104001000A01E200_104001000A8A1D00_seg1_2m 0.22 -3.4477 -0.0000 -0.0000
WV01_20150405_10200100396EF300_102001003D03E700_seg1_2m 0.22 -2.0939 -0.0000 -0.0000
WV01_20160428_102001004E08FA00_1020010050927E00_seg1_2m 0.54 -3.1209 -0.0000 -0.0000
WV01_20120823_102001001C857B00_102001001C8AB700_seg1_2m 0.32 -0.2767 0.5400 -6.6898
WV01_20120517_102001001B9E7A00_102001001A226400_seg7_2m 0.45 -1.0674 3.6863 -2.8110
WV01_20150426_102001003C2A7100_102001003EA16C00_seg1_2m 0.22 2.0807 -0.1314 -1.3196
WV01_20120620_102001001DA05A00_102001001C17A600_seg1_2m 0.67 1.7393 -0.0000 -0.0000
WV01_20160509_102001004F7B6E00_102001004D211F00_seg1_2m 0.95 -0.5709 -0.0000 -0.0000
WV02_20160715_1030010059668700_103001005956B800_seg1_2m 0.33 -1.7901 -0.1387 -6.8466
WV02_20160607_10300100575EC200_10300100554C3400_seg1_2m 0.38 -1.6867 -0.0000 -0.0000
WV01_20150324_102001003C692800_102001003B3B3B00_seg1_2m 1.39 -1.0586 -0.0000 -0.0000
WV01_20150324_102001003C66DF00_102001003CC30A00_seg1_2m 0.83 -1.0150 1.8109 0.1504
WV03_20160827_10400100214F4700_10400100217ED300_seg1_2m 0.23 -1.8039 5.8334 -2.1533
WV03_20150430_104001000B8B9400_104001000AA14800_seg1_2m 0.93 -1.0876 -0.0000 -0.0000
WV01_20120621_102001001B04AA00_102001001BB67D00_seg1_2m 0.52 -1.1530 -0.0000 -0.0000
WV02_20150311_103001003FA24E00_103001003E560B00_seg1_2m 1.04 -0.2500 -1.6900 -5.4750
WV02_20160904_103001005CAD0500_103001005CC8AB00_seg1_2m 0.23 -5.4838 2.4289 -3.7147
WV02_20130304_103001001FAC3F00_10300100206F4200_seg1_2m 0.45 2.2110 -0.2578 1.0148
WV02_20160510_10300100558ECB00_10300100564CC100_seg2_2m 0.50 -5.4343 -0.0000 -0.0000
WV03_20150422_104001000A5D4000_104001000A3C2F00_seg1_2m 0.84 -1.6212 -0.0000 -0.0000
WV02_20160723_103001005A21C600_10300100590CEC00_seg1_2m 0.26 -1.4828 -0.0000 -0.0000
WV01_20130413_1020010021E65200_102001002273C200_seg1_2m 0.38 -2.5471 -0.0000 -0.0000
WV01_20130906_10200100230A0000_1020010025926000_seg1_2m 1.05 -2.5137 1.9546 -4.5971
WV01_20120517_102001001B9E7A00_102001001A226400_seg5_2m 1.29 -1.3028 2.6290 -1.4257
WV02_20160712_103001005A86F600_1030010059AE7E00_seg1_2m 0.40 -0.0572 -0.9646 -1.8213
WV01_20120517_102001001B9E7A00_102001001A226400_seg4_2m 0.49 -1.4409 3.6956 -2.9258
WV01_20120522_102001001B0B0400_102001001B9D6C00_seg1_2m 0.32 1.6130 -0.0000 -0.0000
WV02_20150505_1030010041B7C200_1030010042621A00_seg2_2m 0.66 1.6141 -0.0000 -0.0000
WV01_20120517_102001001B9E7A00_102001001A226400_seg6_2m 1.83 -1.1156 1.7476 -0.2931
WV03_20150330_10400100092E9A00_1040010009911300_seg1_2m 0.18 -4.4781 -0.0000 -0.0000
WV02_20140404_103001002FA8C200_103001002FC4C200_seg1_2m 0.21 -3.4475 2.7473 1.8508
WV02_20141014_1030010037261000_1030010038BC5E00_seg1_2m 0.37 -1.9492 -0.0000 -0.0000
WV01_20130308_1020010020602200_1020010020912C00_seg1_2m 0.20 -0.5758 -0.0000 -0.0000
