Drift Threshold (% of mean depth),drift_area,drift_volume,mean_drift_depth,mean_not_drift_depth,not_drift_area,not_drift_volume,Drift Threshold (% of mean depth),Drift Area %,Not Drift Area %,Drift Volume %,Not Drift Volume %,Drift Volume-Area Difference (%),Drift Volume-Area Difference Slope,Year,Study Area,Inflection Threshold
80.0,67105.0,459344.0,2.281721591949463,0.7368674278259277,43784.0,83421.0,80.0,20.17182347512678,13.161509858206555,84.63016998569827,15.369599712583456,64.45834651057149,-2.947486115109882,2014,Tuolumne,140.0
90.0,60811.0,433077.0,2.373896837234497,0.8303926587104797,50078.0,109689.0,90.0,18.279841402964525,15.053491930368807,79.79070179842613,20.209252141230223,61.510860395461606,-3.37653188113061,2014,Tuolumne,140.0
100.0,53973.0,401265.0,2.478184938430786,0.9272246956825256,56916.0,141500.0,100.0,16.224332440548654,17.109000892784675,73.92961518885892,26.070154509422792,57.70528274831027,-4.101949269659723,2014,Tuolumne,140.0
110.00000000000001,47148.0,366257.0,2.5894179344177246,1.0197973251342773,63741.0,176508.0,110.00000000000001,14.172731289848405,19.160602043484925,67.47969314599057,32.52007655229116,53.30696185614216,-4.851172309147035,2014,Tuolumne,140.0
120.0,39938.0,325705.0,2.718423843383789,1.1147797107696533,70951.0,217060.0,120.0,12.005398792185579,21.327934541147755,60.00833692220178,39.99143277607995,48.0029381300162,-5.414587038202814,2014,Tuolumne,140.0
129.99999999999997,33254.0,284811.0,2.8549115657806396,1.2011066675186157,77635.0,257954.0,129.99999999999997,9.996182368554742,23.33715096477859,52.47397014829127,47.525799549990445,42.47778777973653,-5.563107958509256,2014,Tuolumne,140.0
140.0,27129.0,244417.0,3.003153085708618,1.2797025442123413,83760.0,298348.0,140.0,8.155001848695543,25.178331484637788,45.031724061693225,54.96804563658849,36.876722212997684,-5.69832015154137,2014,Tuolumne,140.0
150.0,21363.0,203553.0,3.176100015640259,1.3544847965240479,89526.0,339213.0,150.0,6.421737052367684,26.91159628096565,37.50288452902147,62.49706941063488,31.08114747665379,-5.303953344006814,2014,Tuolumne,140.0
160.0,16975.0,170274.0,3.343623399734497,1.4130909442901611,93914.0,372492.0,160.0,5.102700297895494,28.23063303543784,31.37151582287955,68.62843811677679,26.268815524984056,-4.4513336124131975,2014,Tuolumne,140.0
169.99999999999997,13520.0,142436.0,3.511754035949707,1.4612377882003784,97369.0,400329.0,169.99999999999997,4.064124184244304,29.269209149089033,26.242604436071698,73.75716526221002,22.178480251827395,-3.850747689032545,2014,Tuolumne,140.0
179.99999999999997,10686.0,118212.0,3.68745756149292,1.503015160560608,100203.0,424553.0,179.99999999999997,3.2122212302392485,30.121112103094084,21.779541377158214,78.22022832112351,18.567320146918966,-3.3015171226727897,2014,Tuolumne,140.0
189.99999999999997,8496.0,98400.0,3.8606760501861572,1.5373936891555786,102393.0,444365.0,189.99999999999997,2.553905256607959,30.779428076725374,18.129351263089774,81.87041843519195,15.575446006481815,-2.681281008800468,2014,Tuolumne,140.0
199.99999999999997,6864.0,82870.0,4.024423599243164,1.5646207332611084,104025.0,459895.0,199.99999999999997,2.0633245858471083,31.270008747486226,15.268082715165137,84.73168698311659,13.20475812931803,-2.3706878771637854,2014,Tuolumne,140.0
