Field Area,Year,Field Area,Year,Drift Area [% total],Drift Volume [% total],Drift Area [km^2],Drift Volume [m^3],Drift Threshold [% of mean depth],Drift Threshold [m],Mean Depth [m],SD Depth [m],CV Depth,Total Area [km^2],Area Normalized Drift Volume [m^3/km^2]
hv,2013,hv,2013,19.2,34.48,3.97,3911711.0,130.0,0.71,0.55,0.3,0.55,20.68,189154.30367504834
hv,2015,hv,2015,17.54,26.37,5.0,5321696.0,120.0,0.85,0.71,0.25,0.35,28.54,186464.4709180098
hv,2018,hv,2018,20.0,40.71,5.59,5542494.0,140.0,0.68,0.49,0.36,0.73,27.95,198300.32200357784
hv,2016,hv,2016,19.4,29.36,5.09,4034082.0,120.0,0.63,0.52,0.21,0.41,26.26,153620.79207920792
hv,2017,hv,2017,15.4,30.66,4.29,4555608.0,140.0,0.75,0.53,0.32,0.6,27.84,163635.3448275862
hv,2012,hv,2012,23.48,41.23,4.45,3761374.0,120.0,0.58,0.48,0.29,0.61,18.95,198489.3931398417
clpx,2018,clpx,2018,20.28,38.2,19.03,20903926.0,140.0,0.82,0.58,0.59,1.01,93.84,222761.3597612958
clpx,2016,clpx,2016,20.79,34.24,19.38,14761273.0,130.0,0.6,0.46,0.23,0.49,93.23,158331.79234152095
clpx,2013,clpx,2013,16.96,26.24,13.36,19059286.97380486,130.0,0.68,0.53,0.2,0.39,94.75,201153.42452564498
clpx,2017,clpx,2017,18.17,33.07,17.14,15538119.0,140.0,0.7,0.5,0.27,0.55,94.29,164790.74132993954
clpx,2015,clpx,2015,21.57,38.38,20.59,19925392.0,140.0,0.76,0.54,0.32,0.59,95.44,208774.0150880134
clpx,2012,clpx,2012,18.7,37.3,14.42,13322102.596545666,150.0,0.54,0.36,0.24,0.68,93.12,143063.8165436605
