,UTM_E,UTM_N,Depth_m,geometry
0,411014.0,7613233.0,0.0,POINT (411014 7613233)
1,411013.0,7613233.0,0.22,POINT (411013 7613233)
2,411012.0,7613233.0,0.26,POINT (411012 7613233)
3,411011.0,7613233.0,0.51,POINT (411011 7613233)
4,411010.0,7613233.0,0.64,POINT (411010 7613233)
5,411009.0,7613233.0,1.0,POINT (411009 7613233)
6,411008.0,7613233.0,1.23,POINT (411008 7613233)
7,411007.0,7613233.0,1.49,POINT (411007 7613233)
8,411006.0,7613233.0,1.71,POINT (411006 7613233)
9,411005.0,7613233.0,1.95,POINT (411005 7613233)
10,411004.0,7613233.0,2.16,POINT (411004 7613233)
11,411003.0,7613233.0,2.13,POINT (411003 7613233)
12,411002.0,7613233.0,2.05,POINT (411002 7613233)
13,411001.0,7613233.0,1.95,POINT (411001 7613233)
14,411000.0,7613233.0,1.87,POINT (411000 7613233)
15,410999.0,7613233.0,1.55,POINT (410999 7613233)
16,410998.0,7613233.0,1.04,POINT (410998 7613233)
17,410997.0,7613233.0,0.9,POINT (410997 7613233)
18,410996.0,7613233.0,0.79,POINT (410996 7613233)
19,410995.0,7613233.0,0.72,POINT (410995 7613233)
20,410994.0,7613233.0,0.65,POINT (410994 7613233)
21,410993.0,7613233.0,0.61,POINT (410993 7613233)
22,410992.0,7613233.0,0.59,POINT (410992 7613233)
23,410991.0,7613233.0,0.6,POINT (410991 7613233)
24,410990.0,7613233.0,0.6,POINT (410990 7613233)
25,410989.0,7613233.0,0.54,POINT (410989 7613233)
