,UTM_E,UTM_N,Depth_m,geometry
0,411179.0,7613414.0,0.28,POINT (411179 7613414)
1,411179.3746065934,7613413.072816146,0.32,POINT (411179.3746065934 7613413.072816146)
2,411179.74921318685,7613412.145632291,0.325,POINT (411179.7492131868 7613412.145632291)
3,411180.12381978024,7613411.218448436,0.33,POINT (411180.1238197802 7613411.218448436)
4,411180.49842637364,7613410.2912645815,0.33,POINT (411180.4984263736 7613410.291264581)
5,411180.8730329671,7613409.364080727,0.335,POINT (411180.8730329671 7613409.364080727)
6,411181.2476395605,7613408.436896873,0.53,POINT (411181.2476395605 7613408.436896873)
7,411181.6222461539,7613407.509713018,1.01,POINT (411181.6222461539 7613407.509713018)
8,411181.99685274734,7613406.582529164,1.7,POINT (411181.9968527473 7613406.582529164)
9,411182.37145934073,7613405.655345309,2.38,POINT (411182.3714593407 7613405.655345309)
10,411182.74606593413,7613404.728161454,2.76,POINT (411182.7460659341 7613404.728161454)
11,411183.1206725276,7613403.8009776,3.0,POINT (411183.1206725276 7613403.8009776)
12,411183.495279121,7613402.873793745,3.0,POINT (411183.495279121 7613402.873793745)
13,411183.86988571443,7613401.946609891,4.05,POINT (411183.8698857144 7613401.946609891)
14,411184.24449230783,7613401.019426036,4.28,POINT (411184.2444923078 7613401.019426036)
15,411184.6190989012,7613400.092242181,4.4,POINT (411184.6190989012 7613400.092242181)
16,411184.9937054947,7613399.165058327,4.46,POINT (411184.9937054947 7613399.165058327)
17,411185.3683120881,7613398.2378744725,4.43,POINT (411185.3683120881 7613398.237874473)
18,411185.74291868147,7613397.310690618,3.9,POINT (411185.7429186815 7613397.310690618)
19,411186.1175252749,7613396.383506763,3.72,POINT (411186.1175252749 7613396.383506763)
20,411186.4921318683,7613395.456322908,3.6,POINT (411186.4921318683 7613395.456322908)
21,411187.24134505517,7613393.6019552,3.16,POINT (411187.2413450552 7613393.6019552)
22,411187.61595164856,7613392.674771345,3.11,POINT (411187.6159516486 7613392.674771345)
23,411188.3651648354,7613390.8204036355,3.19,POINT (411188.3651648354 7613390.820403636)
24,411189.1143780222,7613388.966035927,3.28,POINT (411189.1143780222 7613388.966035927)
25,411189.48898461566,7613388.038852072,2.78,POINT (411189.4889846157 7613388.038852072)
26,411190.23819780245,7613386.184484363,2.5,POINT (411190.2381978024 7613386.184484363)
27,411190.6128043959,7613385.257300508,2.34,POINT (411190.6128043959 7613385.257300508)
28,411191.36201758275,7613383.402932799,1.02,POINT (411191.3620175828 7613383.402932799)
29,411191.73662417615,7613382.475748945,0.82,POINT (411191.7366241761 7613382.475748945)
30,411192.11123076954,7613381.54856509,0.6,POINT (411192.1112307695 7613381.54856509)
31,411192.8604439564,7613379.694197381,0.5,POINT (411192.8604439564 7613379.694197381)
32,411193.60965714324,7613377.839829672,0.47,POINT (411193.6096571432 7613377.839829672)
33,411193.98426373664,7613376.912645818,0.45,POINT (411193.9842637366 7613376.912645818)
34,411194.35887033003,7613375.985461962,0.43,POINT (411194.35887033 7613375.985461962)
35,411194.7334769235,7613375.058278108,0.4,POINT (411194.7334769235 7613375.058278108)
36,411195.4826901103,7613373.203910399,0.33,POINT (411195.4826901103 7613373.203910399)
37,411195.85729670373,7613372.276726545,0.49,POINT (411195.8572967037 7613372.276726545)
38,411196.2319032971,7613371.3495426895,0.31,POINT (411196.2319032971 7613371.34954269)
39,411196.6065098905,7613370.422358835,0.33,POINT (411196.6065098905 7613370.422358835)
40,411196.981116484,7613369.495174981,0.4,POINT (411196.981116484 7613369.495174981)
41,411197.3557230774,7613368.567991126,0.45,POINT (411197.3557230774 7613368.567991126)
42,411197.73032967077,7613367.640807272,0.25,POINT (411197.7303296708 7613367.640807272)
43,411198.4795428576,7613365.786439562,0.0,POINT (411198.4795428576 7613365.786439562)
44,411198.8541494511,7613364.859255708,0.16,POINT (411198.8541494511 7613364.859255708)
45,411199.22875604447,7613363.932071853,0.2,POINT (411199.2287560445 7613363.932071853)
46,411199.60336263786,7613363.004887999,0.28,POINT (411199.6033626379 7613363.004887999)
