,id_count,UTM_E,UTM_N,Depth_m,geometry
0,61001,405472.81,7613300.31,0.5527000000000001,POINT (405472.81 7613300.31)
1,61002,405474.03,7613300.26,0.6038,POINT (405474.03 7613300.26)
2,61003,405476.06,7613300.19,0.6363,POINT (405476.06 7613300.19)
3,61004,405478.1,7613300.11,0.628,POINT (405478.1 7613300.11)
4,61005,405479.72,7613300.05,0.5847,POINT (405479.72 7613300.05)
5,61006,405480.94,7613300.0,0.6399,POINT (405480.94 7613300)
6,61007,405483.38,7613299.91,0.6528,POINT (405483.38 7613299.91)
7,61008,405485.01,7613299.85,0.6606000000000001,POINT (405485.01 7613299.85)
8,61009,405486.23,7613299.8,0.6481999999999999,POINT (405486.23 7613299.8)
9,61010,405488.67,7613299.71,0.579,POINT (405488.67 7613299.71)
10,61011,405489.48,7613299.68,0.6456000000000001,POINT (405489.48 7613299.68)
11,61012,405490.74,7613300.75,0.6533,POINT (405490.74 7613300.75)
12,61013,405492.78,7613300.67,0.5341,POINT (405492.78 7613300.67)
13,61014,405494.4,7613300.61,0.5759000000000001,POINT (405494.4 7613300.61)
14,61015,405496.8,7613299.4,0.6136,POINT (405496.8 7613299.4)
15,61016,405498.88,7613300.44,0.6182,POINT (405498.88 7613300.44)
16,61017,405500.87,7613299.25,0.6709,POINT (405500.87 7613299.25)
17,61018,405503.35,7613300.27,0.6053000000000001,POINT (405503.35 7613300.27)
18,61019,405504.16,7613300.24,0.7132,POINT (405504.16 7613300.24)
19,61020,405506.2,7613300.17,0.626,POINT (405506.2 7613300.17)
20,61021,405507.42,7613300.12,0.5997,POINT (405507.42 7613300.12)
21,61022,405509.04,7613300.06,0.6249,POINT (405509.04 7613300.06)
22,61023,405511.08,7613299.98,0.6967,POINT (405511.08 7613299.98)
23,61024,405511.89,7613299.95,0.6239,POINT (405511.89 7613299.95)
24,61025,405513.92,7613299.87,0.6002000000000001,POINT (405513.92 7613299.87)
25,61026,405516.36,7613299.78,0.7896,POINT (405516.36 7613299.78)
26,61027,405517.58,7613299.74,0.675,POINT (405517.58 7613299.74)
27,61028,405519.21,7613299.67,0.6275,POINT (405519.21 7613299.67)
28,61029,405520.84,7613299.61,0.6781,POINT (405520.84 7613299.61)
29,61030,405522.06,7613299.57,0.5826,POINT (405522.06 7613299.57)
30,61031,405523.68,7613299.5,0.6858,POINT (405523.68 7613299.5)
31,61032,405524.9,7613299.46,0.6528,POINT (405524.9 7613299.46)
32,61033,405527.34,7613299.37,0.7240000000000001,POINT (405527.34 7613299.37)
33,61034,405528.97,7613299.31,0.6853,POINT (405528.97 7613299.31)
34,61035,405530.6,7613299.24,0.6554000000000001,POINT (405530.6 7613299.24)
35,61036,405532.22,7613299.18,0.644,POINT (405532.22 7613299.18)
36,61037,405533.89,7613300.24,0.7306999999999999,POINT (405533.89 7613300.24)
37,61038,405535.11,7613300.19,0.6745,POINT (405535.11 7613300.19)
38,61039,405537.15,7613300.11,0.6291,POINT (405537.15 7613300.11)
39,61040,405538.37,7613300.07,0.5852,POINT (405538.37 7613300.07)
40,61041,405540.4,7613299.99,0.6038,POINT (405540.4 7613299.99)
41,61042,405542.43,7613299.91,0.6336999999999999,POINT (405542.43 7613299.91)
42,61043,405544.06,7613299.85,0.6940999999999999,POINT (405544.06 7613299.85)
43,61044,405546.5,7613299.76,0.6770999999999999,POINT (405546.5 7613299.76)
44,61045,405548.13,7613299.7,0.6244,POINT (405548.13 7613299.7)
45,61046,405549.75,7613299.64,0.6409,POINT (405549.75 7613299.64)
46,61047,405551.38,7613299.57,0.6631,POINT (405551.38 7613299.57)
47,61048,405553.01,7613299.51,0.6048,POINT (405553.01 7613299.51)
48,61049,405554.63,7613299.45,0.6537999999999999,POINT (405554.63 7613299.45)
49,61050,405557.48,7613299.34,0.6652,POINT (405557.48 7613299.34)
50,61051,405559.51,7613299.27,0.5966,POINT (405559.51 7613299.27)
51,61052,405562.77,7613299.15,0.6064,POINT (405562.77 7613299.15)
52,61053,405563.99,7613299.1,0.5532,POINT (405563.99 7613299.1)
53,61054,405565.21,7613299.05,0.5424,POINT (405565.21 7613299.05)
54,61055,405567.24,7613298.98,0.659,POINT (405567.24 7613298.98)
55,61056,405569.68,7613298.88,0.7323000000000001,POINT (405569.68 7613298.88)
56,61057,405571.71,7613298.81,0.7302,POINT (405571.71 7613298.81)
57,61058,405573.75,7613298.73,0.6993,POINT (405573.75 7613298.73)
58,61059,405576.19,7613298.64,0.6718999999999999,POINT (405576.19 7613298.64)
59,61060,405578.22,7613298.56,0.7111,POINT (405578.22 7613298.56)
60,61061,405579.44,7613298.52,0.6513,POINT (405579.44 7613298.52)
61,61062,405581.84,7613297.31,0.755,POINT (405581.84 7613297.31)
62,61063,405584.28,7613297.22,0.6193,POINT (405584.28 7613297.22)
63,61064,405586.31,7613297.14,0.7756000000000001,POINT (405586.31 7613297.14)
64,61065,405587.53,7613297.09,0.7384999999999999,POINT (405587.53 7613297.09)
65,61066,405589.97,7613297.0,0.6884,POINT (405589.97 7613297)
66,61067,405592.41,7613296.91,0.579,POINT (405592.41 7613296.91)
67,61068,405594.45,7613296.83,0.6409,POINT (405594.45 7613296.83)
68,61069,405596.89,7613296.74,0.7524,POINT (405596.89 7613296.74)
69,61070,405598.92,7613296.66,0.755,POINT (405598.92 7613296.66)
70,61071,405602.17,7613296.54,0.4061,POINT (405602.17 7613296.54)
71,61072,405604.61,7613296.45,0.754,POINT (405604.61 7613296.45)
72,61073,405606.28,7613297.5,0.7787000000000001,POINT (405606.28 7613297.5)
73,61074,405607.87,7613296.33,0.7483,POINT (405607.87 7613296.33)
74,61075,405608.68,7613296.3,0.7323000000000001,POINT (405608.68 7613296.3)
75,61076,405609.9,7613296.25,0.6476999999999999,POINT (405609.9 7613296.25)
76,61077,405611.93,7613296.17,0.6568999999999999,POINT (405611.93 7613296.17)
77,61078,405614.78,7613296.07,0.595,POINT (405614.78 7613296.07)
78,61079,405617.22,7613295.97,0.6347999999999999,POINT (405617.22 7613295.97)
79,61080,405618.44,7613295.93,0.531,POINT (405618.44 7613295.93)
80,61081,405619.66,7613295.88,0.5899,POINT (405619.66 7613295.88)
81,61082,405620.47,7613295.85,0.6688,POINT (405620.47 7613295.85)
82,61083,405622.1,7613295.79,0.6064,POINT (405622.1 7613295.79)
83,61084,405624.54,7613295.7,0.5635,POINT (405624.54 7613295.7)
84,61085,405625.76,7613295.65,0.6059,POINT (405625.76 7613295.65)
85,61086,405628.2,7613295.56,0.6709,POINT (405628.2 7613295.56)
86,61087,405631.05,7613295.45,0.609,POINT (405631.05 7613295.45)
87,61088,405633.08,7613295.38,0.7091,POINT (405633.08 7613295.38)
88,61089,405633.49,7613295.36,0.7684000000000001,POINT (405633.49 7613295.36)
89,61090,405635.11,7613295.3,0.7565000000000001,POINT (405635.11 7613295.3)
90,61091,405636.74,7613295.24,0.7137,POINT (405636.74 7613295.24)
91,61092,405638.0,7613296.31,0.6616,POINT (405638 7613296.31)
92,61093,405640.44,7613296.21,0.6136,POINT (405640.44 7613296.21)
93,61094,405642.07,7613296.15,0.6306,POINT (405642.07 7613296.15)
94,61095,405643.25,7613294.99,0.7111,POINT (405643.25 7613294.99)
95,61096,405645.28,7613294.92,0.6249,POINT (405645.28 7613294.92)
96,61097,405647.72,7613294.82,0.5135000000000001,POINT (405647.72 7613294.82)
97,61098,405648.98,7613295.89,0.7158,POINT (405648.98 7613295.89)
98,61099,405651.01,7613295.82,0.7373999999999999,POINT (405651.01 7613295.82)
99,61100,405653.45,7613295.72,0.6389,POINT (405653.45 7613295.72)
100,61101,405655.89,7613295.63,0.5961,POINT (405655.89 7613295.63)
101,61102,405656.67,7613294.49,0.6616,POINT (405656.67 7613294.49)
102,61103,405658.7,7613294.41,0.7044,POINT (405658.7 7613294.41)
103,61104,405661.55,7613294.3,0.7265999999999999,POINT (405661.55 7613294.3)
104,61105,405662.77,7613294.26,0.7333,POINT (405662.77 7613294.26)
105,61106,405663.99,7613294.21,0.7519,POINT (405663.99 7613294.21)
106,61107,405666.43,7613294.12,0.628,POINT (405666.43 7613294.12)
107,61108,405666.83,7613294.1,0.6895,POINT (405666.83 7613294.1)
108,61109,405668.91,7613295.14,0.6987000000000001,POINT (405668.91 7613295.14)
