,Counter_,Latitude,Longitude,Depth_m,geometry
0,350159,68.622493,-149.294476,0.1672,POINT (-149.294476 68.62249300000001)
1,350160,68.62248100000001,-149.29446000000002,0.1938,POINT (-149.29446 68.62248100000001)
2,350161,68.622476,-149.294473,0.21280000000000002,POINT (-149.294473 68.62247600000001)
3,350162,68.622461,-149.294468,0.16949999999999998,POINT (-149.294468 68.622461)
4,350163,68.62245300000001,-149.29446299999998,0.2151,POINT (-149.294463 68.62245300000001)
5,350164,68.62244100000001,-149.29444099999998,0.2727,POINT (-149.294441 68.62244100000001)
6,350165,68.622423,-149.294408,0.25429999999999997,POINT (-149.294408 68.622423)
7,350166,68.622415,-149.294418,0.3799,POINT (-149.294418 68.622415)
8,350167,68.62241,-149.29442,0.2958,POINT (-149.29442 68.62241)
9,350168,68.622398,-149.29443600000002,0.3159,POINT (-149.294436 68.622398)
10,21287,68.61265,-149.301376,0.3801,POINT (-149.301376 68.61265)
11,22559,68.61753,-149.303786,0.40549999999999997,POINT (-149.303786 68.61753)
12,22560,68.61753,-149.303791,0.295,POINT (-149.303791 68.61753)
13,22561,68.61754,-149.303801,0.2632,POINT (-149.303801 68.61754000000001)
14,23108,68.613925,-149.316326,0.7089,POINT (-149.316326 68.61392499999999)
15,25009,68.622578,-149.287216,0.23079999999999998,POINT (-149.287216 68.622578)
16,25010,68.622566,-149.287205,0.2754,POINT (-149.287205 68.62256600000001)
17,25011,68.622546,-149.287201,0.3396,POINT (-149.287201 68.622546)
18,25012,68.622535,-149.287198,0.3519,POINT (-149.287198 68.622535)
19,25013,68.622518,-149.287195,0.3195,POINT (-149.287195 68.622518)
20,25014,68.622501,-149.287181,0.2749,POINT (-149.287181 68.622501)
21,25015,68.622486,-149.287175,0.17550000000000002,POINT (-149.287175 68.62248599999999)
22,25016,68.622476,-149.287183,0.2698,POINT (-149.287183 68.62247600000001)
23,25017,68.622458,-149.28718600000002,0.2325,POINT (-149.287186 68.62245799999999)
24,25018,68.622443,-149.28718,0.1845,POINT (-149.28718 68.622443)
25,25019,68.622415,-149.287198,0.1744,POINT (-149.287198 68.622415)
26,25020,68.622403,-149.287195,0.11359999999999999,POINT (-149.287195 68.62240300000001)
27,25021,68.62239,-149.287195,0.21960000000000002,POINT (-149.287195 68.62239)
28,25022,68.622373,-149.287198,0.2018,POINT (-149.287198 68.622373)
29,25023,68.622365,-149.28718500000002,0.1142,POINT (-149.287185 68.622365)
30,25024,68.622348,-149.287181,0.20010000000000003,POINT (-149.287181 68.622348)
31,25025,68.622333,-149.287196,0.1069,POINT (-149.287196 68.622333)
32,25026,68.622325,-149.287188,0.1482,POINT (-149.287188 68.622325)
33,25027,68.62230799999999,-149.287203,0.2793,POINT (-149.287203 68.62230799999999)
34,25028,68.62229599999999,-149.287215,0.28550000000000003,POINT (-149.287215 68.62229599999999)
35,25029,68.62227299999999,-149.287198,0.3864,POINT (-149.287198 68.62227299999999)
36,25030,68.62226,-149.28719099999998,0.3552,POINT (-149.287191 68.62226)
37,25031,68.62224599999999,-149.287178,0.40149999999999997,POINT (-149.287178 68.62224599999999)
38,25032,68.622235,-149.287171,0.3725,POINT (-149.287171 68.622235)
39,25033,68.62222,-149.28716,0.3697,POINT (-149.28716 68.62222)
40,25034,68.622203,-149.287155,0.3887,POINT (-149.287155 68.622203)
41,25035,68.622188,-149.287165,0.2961,POINT (-149.287165 68.62218799999999)
42,25036,68.62218100000001,-149.28715,0.2548,POINT (-149.28715 68.62218100000001)
43,25037,68.62217,-149.287148,0.3128,POINT (-149.287148 68.62217)
44,25038,68.62216,-149.287146,0.2693,POINT (-149.287146 68.62215999999999)
45,25039,68.62214300000001,-149.287133,0.2631,POINT (-149.287133 68.62214300000001)
46,25040,68.622123,-149.287138,0.2771,POINT (-149.287138 68.622123)
47,25041,68.622118,-149.28713100000002,0.2034,POINT (-149.287131 68.622118)
48,25042,68.62210999999999,-149.28714,0.13369999999999999,POINT (-149.28714 68.62210999999999)
49,25043,68.62210300000001,-149.287145,0.15039999999999998,POINT (-149.287145 68.62210300000001)
50,25044,68.622085,-149.287141,0.1945,POINT (-149.287141 68.622085)
51,25045,68.622058,-149.287156,0.141,POINT (-149.287156 68.622058)
52,25046,68.622046,-149.28716799999998,0.14429999999999998,POINT (-149.287168 68.622046)
53,25047,68.622033,-149.287178,0.17550000000000002,POINT (-149.287178 68.622033)
54,25048,68.622023,-149.287193,0.1845,POINT (-149.287193 68.622023)
55,25049,68.622006,-149.287216,0.3664,POINT (-149.287216 68.622006)
56,25050,68.621998,-149.287223,0.3357,POINT (-149.287223 68.621998)
57,25051,68.621995,-149.287228,0.2291,POINT (-149.287228 68.621995)
58,25052,68.62198000000001,-149.287258,0.4155,POINT (-149.287258 68.62198000000001)
59,25053,68.621965,-149.287256,0.4305,POINT (-149.287256 68.621965)
60,25054,68.621948,-149.28727800000001,0.4534,POINT (-149.287278 68.621948)
