,Counter_,Depth_m,Latitude,Longitude,geometry
0,350159,0.1672,68.622493,-149.294476,POINT (406680.8310457797 7614009.626158818)
1,350160,0.1938,68.62248100000001,-149.29446000000002,POINT (406681.4316380003 7614008.26468253)
2,350161,0.2128,68.622476,-149.294473,POINT (406680.8823308197 7614007.7272327)
3,350162,0.1695,68.622461,-149.294468,POINT (406681.0232420682 7614006.048140524)
4,350163,0.2151,68.62245300000001,-149.29446299999998,POINT (406681.1932573029 7614005.149085318)
5,350164,0.2727,68.62244100000001,-149.29444099999998,POINT (406682.0377831419 7614003.77850793)
6,350165,0.2543,68.622423,-149.294408,POINT (406683.3045737193 7614001.722642391)
7,350166,0.3799,68.622415,-149.294418,POINT (406682.8647590718 7614000.84634003)
8,350167,0.2958,68.62241,-149.29442,POINT (406682.7626602916 7614000.292204469)
9,350168,0.3159,68.622398,-149.29443600000002,POINT (406682.0622821699 7613998.979267961)
10,21287,0.3801,68.61265,-149.301376,POINT (406359.2643505164 7612923.26943866)
11,22559,0.4055,68.61753,-149.303786,POINT (406281.6134265332 7613470.733586716)
12,22560,0.295,68.61753,-149.303791,POINT (406281.4101062244 7613470.741203343)
13,22561,0.2632,68.61754,-149.303801,POINT (406281.0452100996 7613471.870769256)
14,23108,0.7089,68.613925,-149.316326,POINT (405756.557236277 7613088.173821762)
15,25009,0.2308,68.622578,-149.287216,POINT (406976.3411029787 7614008.102910966)
16,25010,0.2754,68.622566,-149.287205,POINT (406976.7385765575 7614006.749066914)
17,25011,0.3396,68.622546,-149.287201,POINT (406976.8183073387 7614004.514333272)
18,25012,0.3519,68.622535,-149.287198,POINT (406976.8946836699 7614003.284020116)
19,25013,0.3195,68.622518,-149.287195,POINT (406976.9461930883 7614001.385101361)
20,25014,0.2749,68.622501,-149.287181,POINT (406977.444912124 7613999.469549887)
21,25015,0.1755,68.622486,-149.287175,POINT (406977.6266775054 7613997.788963506)
22,25016,0.2698,68.622476,-149.287183,POINT (406977.2599892401 7613996.686717322)
23,25017,0.2325,68.622458,-149.28718600000002,POINT (406977.0634221135 7613994.685436705)
24,25018,0.1845,68.622443,-149.28718,POINT (406977.2451878446 7613993.004850302)
25,25019,0.1744,68.622415,-149.287198,POINT (406976.3973424754 7613989.911908116)
26,25020,0.1136,68.622403,-149.287195,POINT (406976.4695751166 7613988.570160692)
27,25021,0.2196,68.62239,-149.287195,POINT (406976.4156965871 7613987.121515232)
28,25022,0.2018,68.622373,-149.287198,POINT (406976.2232731552 7613985.231668955)
29,25023,0.1142,68.622365,-149.28718500000002,POINT (406976.7186405283 7613984.320537838)
30,25024,0.2001,68.622348,-149.287181,POINT (406976.8108070357 7613982.420107027)
31,25025,0.1069,68.622333,-149.287196,POINT (406976.138804309 7613980.771274177)
32,25026,0.1482,68.622325,-149.287188,POINT (406976.4308940603 7613979.867703426)
33,25027,0.2793,68.62230799999999,-149.287203,POINT (406975.7506015009 7613977.996002146)
34,25028,0.2855,68.62229599999999,-149.287215,POINT (406975.2129980556 7613976.676936075)
35,25029,0.3864,68.62227299999999,-149.287198,POINT (406975.8088225964 7613974.088242458)
36,25030,0.3552,68.62226,-149.28719099999998,POINT (406976.0395349152 7613972.62901243)
37,25031,0.4015,68.62224599999999,-149.287178,POINT (406976.510038276 7613971.049275703)
38,25032,0.3725,68.622235,-149.287171,POINT (406976.7490403295 7613969.812914278)
39,25033,0.3697,68.62222,-149.28716,POINT (406977.1340885499 7613968.124767556)
40,25034,0.3887,68.622203,-149.287155,POINT (406977.2669128918 7613966.222824719)
41,25035,0.2961,68.622188,-149.287165,POINT (406976.7981868353 7613964.566431385)
42,25036,0.2548,68.62218100000001,-149.28715,POINT (406977.3790154797 7613963.763710563)
43,25037,0.3128,68.62217,-149.287148,POINT (406977.4147389269 7613962.534909517)
44,25038,0.2693,68.62216,-149.287146,POINT (406977.4546068632 7613961.417542737)
45,25039,0.2631,68.62214300000001,-149.287133,POINT (406977.9126806263 7613959.503503505)
46,25040,0.2771,68.622123,-149.287138,POINT (406977.6265125391 7613957.28237844)
47,25041,0.2034,68.622118,-149.28713100000002,POINT (406977.8903832628 7613956.71462274)
48,25042,0.1337,68.62210999999999,-149.28714,POINT (406977.4913232345 7613955.836757091)
49,25043,0.1504,68.62210300000001,-149.287145,POINT (406977.259031853 7613955.064277529)
50,25044,0.1945,68.622085,-149.287141,POINT (406977.347057227 7613953.052412507)
51,25045,0.141,68.622058,-149.287156,POINT (406976.625315476 7613950.066368326)
