,UTM_E,UTM_N,Depth_m,geometry
0,405927,7612800.0,0.7341,POINT (405927 7612800)
1,405928,7612800.0,0.7757,POINT (405928 7612800)
2,405928,7612800.0,0.7857,POINT (405928 7612800)
3,405928,7612800.0,0.7902,POINT (405928 7612800)
4,405928,7612800.0,0.6568,POINT (405928 7612800)
5,405928,7612800.0,0.6274000000000001,POINT (405928 7612800)
6,405928,7612800.0,0.7268000000000001,POINT (405928 7612800)
7,405929,7612800.0,0.7796,POINT (405929 7612800)
8,405930,7612800.0,0.6923999999999999,POINT (405930 7612800)
9,405930,7612800.0,0.7284999999999999,POINT (405930 7612800)
10,405929,7612800.0,0.768,POINT (405929 7612800)
11,405929,7612800.0,0.7391,POINT (405929 7612800)
12,405928,7612800.0,0.7129000000000001,POINT (405928 7612800)
13,405927,7612800.0,0.6757,POINT (405927 7612800)
14,405926,7612800.0,0.6001,POINT (405926 7612800)
15,405927,7612800.0,0.7212999999999999,POINT (405927 7612800)
16,405927,7612800.0,0.7418,POINT (405927 7612800)
17,405928,7612800.0,0.7373999999999999,POINT (405928 7612800)
18,405929,7612800.0,0.5974,POINT (405929 7612800)
19,405929,7612800.0,0.7256999999999999,POINT (405929 7612800)
20,405930,7612800.0,0.7902,POINT (405930 7612800)
21,405930,7612800.0,0.7468,POINT (405930 7612800)
22,405930,7612800.0,0.7613,POINT (405930 7612800)
23,405930,7612800.0,0.7779,POINT (405930 7612800)
24,405930,7612800.0,0.7424,POINT (405930 7612800)
25,405929,7612790.0,0.7685,POINT (405929 7612790)
26,405928,7612790.0,0.7613,POINT (405928 7612790)
27,405927,7612790.0,0.7663,POINT (405927 7612790)
28,405926,7612790.0,0.764,POINT (405926 7612790)
29,405926,7612790.0,0.7763,POINT (405926 7612790)
30,405925,7612800.0,0.6901,POINT (405925 7612800)
31,405925,7612800.0,0.6762,POINT (405925 7612800)
32,405925,7612790.0,0.6746,POINT (405925 7612790)
33,405925,7612800.0,0.634,POINT (405925 7612800)
34,405925,7612800.0,0.6846,POINT (405925 7612800)
35,405926,7612800.0,0.7574,POINT (405926 7612800)
36,405926,7612800.0,0.7034999999999999,POINT (405926 7612800)
37,405928,7612800.0,0.669,POINT (405928 7612800)
38,405928,7612800.0,0.7068000000000001,POINT (405928 7612800)
39,405929,7612800.0,0.7935,POINT (405929 7612800)
40,405929,7612800.0,0.7256999999999999,POINT (405929 7612800)
41,405930,7612800.0,0.7056999999999999,POINT (405930 7612800)
42,405931,7612800.0,0.7445,POINT (405931 7612800)
43,405931,7612800.0,0.7356999999999999,POINT (405931 7612800)
44,405930,7612800.0,0.7795000000000001,POINT (405930 7612800)
45,405930,7612800.0,0.7090000000000001,POINT (405930 7612800)
46,405929,7612800.0,0.807,POINT (405929 7612800)
47,405929,7612790.0,0.7984,POINT (405929 7612790)
48,405929,7612790.0,0.789,POINT (405929 7612790)
49,405928,7612790.0,0.7634000000000001,POINT (405928 7612790)
50,405927,7612790.0,0.7095,POINT (405927 7612790)
51,405928,7612790.0,0.8079999999999999,POINT (405928 7612790)
52,405926,7612790.0,0.7956,POINT (405926 7612790)
53,405925,7612790.0,0.82,POINT (405925 7612790)
54,405924,7612790.0,0.7162000000000001,POINT (405924 7612790)
55,405924,7612790.0,0.7623000000000001,POINT (405924 7612790)
56,405923,7612790.0,0.7134,POINT (405923 7612790)
57,405923,7612790.0,0.7040000000000001,POINT (405923 7612790)
58,405923,7612800.0,0.6945,POINT (405923 7612800)
59,405924,7612800.0,0.7512000000000001,POINT (405924 7612800)
60,405924,7612800.0,0.6928,POINT (405924 7612800)
61,405925,7612800.0,0.6928,POINT (405925 7612800)
62,405925,7612800.0,0.6634,POINT (405925 7612800)
63,405925,7612800.0,0.6723,POINT (405925 7612800)
64,405926,7612800.0,0.6734,POINT (405926 7612800)
65,405927,7612800.0,0.7356,POINT (405927 7612800)
66,405928,7612800.0,0.75,POINT (405928 7612800)
67,405927,7612800.0,0.6034,POINT (405927 7612800)
68,405929,7612800.0,0.7073,POINT (405929 7612800)
69,405929,7612800.0,0.7978000000000001,POINT (405929 7612800)
70,405930,7612800.0,0.7173,POINT (405930 7612800)
71,405931,7612800.0,0.6778,POINT (405931 7612800)
72,405931,7612800.0,0.7223,POINT (405931 7612800)
73,405931,7612800.0,0.7156,POINT (405931 7612800)
74,405932,7612800.0,0.7317,POINT (405932 7612800)
75,405932,7612800.0,0.802,POINT (405932 7612800)
76,405932,7612790.0,0.7823,POINT (405932 7612790)
77,405931,7612790.0,0.871,POINT (405931 7612790)
78,405930,7612790.0,0.7912,POINT (405930 7612790)
79,405930,7612790.0,0.823,POINT (405930 7612790)
80,405929,7612790.0,0.812,POINT (405929 7612790)
81,405929,7612790.0,0.77,POINT (405929 7612790)
82,405928,7612790.0,0.8079999999999999,POINT (405928 7612790)
83,405927,7612790.0,0.804,POINT (405927 7612790)
84,405927,7612790.0,0.7739,POINT (405927 7612790)
85,405926,7612790.0,0.818,POINT (405926 7612790)
86,405925,7612790.0,0.765,POINT (405925 7612790)
87,405925,7612790.0,0.7667,POINT (405925 7612790)
88,405924,7612790.0,0.7617,POINT (405924 7612790)
89,405924,7612790.0,0.856,POINT (405924 7612790)
90,405923,7612790.0,0.7789,POINT (405923 7612790)
91,405923,7612790.0,0.78,POINT (405923 7612790)
92,405923,7612790.0,0.7606,POINT (405923 7612790)
93,405922,7612790.0,0.7411,POINT (405922 7612790)
94,405922,7612800.0,0.7467,POINT (405922 7612800)
95,405923,7612800.0,0.7439,POINT (405923 7612800)
96,405923,7612800.0,0.7378,POINT (405923 7612800)
97,405922,7612800.0,0.6611,POINT (405922 7612800)
98,405923,7612800.0,0.6656,POINT (405923 7612800)
99,405924,7612800.0,0.7345,POINT (405924 7612800)
100,405925,7612800.0,0.65,POINT (405925 7612800)
101,405925,7612800.0,0.7017,POINT (405925 7612800)
102,405927,7612800.0,0.77,POINT (405927 7612800)
103,405928,7612800.0,0.6561,POINT (405928 7612800)
104,405928,7612800.0,0.7472,POINT (405928 7612800)
105,405929,7612800.0,0.7406,POINT (405929 7612800)
106,405931,7612800.0,0.7422,POINT (405931 7612800)
107,405931,7612800.0,0.7667,POINT (405931 7612800)
108,405931,7612800.0,0.7333,POINT (405931 7612800)
109,405931,7612800.0,0.5945,POINT (405931 7612800)
110,405932,7612800.0,0.7217,POINT (405932 7612800)
111,405932,7612800.0,0.6889,POINT (405932 7612800)
112,405932,7612800.0,0.7256,POINT (405932 7612800)
113,405933,7612800.0,0.7261,POINT (405933 7612800)
114,405933,7612800.0,0.7533,POINT (405933 7612800)
115,405933,7612800.0,0.7128,POINT (405933 7612800)
116,405933,7612790.0,0.7667,POINT (405933 7612790)
117,405933,7612790.0,0.7228,POINT (405933 7612790)
118,405932,7612790.0,0.7389,POINT (405932 7612790)
119,405932,7612790.0,0.7878000000000001,POINT (405932 7612790)
120,405931,7612790.0,0.7517,POINT (405931 7612790)
121,405931,7612790.0,0.8059999999999999,POINT (405931 7612790)
122,405930,7612790.0,0.6589,POINT (405930 7612790)
123,405928,7612790.0,0.5943999999999999,POINT (405928 7612790)
124,405927,7612790.0,0.6194,POINT (405927 7612790)
125,405927,7612790.0,0.7317,POINT (405927 7612790)
126,405927,7612790.0,0.6739,POINT (405927 7612790)
127,405926,7612790.0,0.7306,POINT (405926 7612790)
128,405926,7612790.0,0.75,POINT (405926 7612790)
129,405925,7612790.0,0.6967,POINT (405925 7612790)
130,405925,7612790.0,0.7922,POINT (405925 7612790)
131,405923,7612790.0,0.78,POINT (405923 7612790)
132,405922,7612790.0,0.7272,POINT (405922 7612790)
133,405922,7612790.0,0.8270000000000001,POINT (405922 7612790)
134,405922,7612790.0,0.7828,POINT (405922 7612790)
135,405922,7612790.0,0.828,POINT (405922 7612790)
136,405922,7612790.0,0.7922,POINT (405922 7612790)
137,405921,7612790.0,0.7383,POINT (405921 7612790)
138,405921,7612800.0,0.7789,POINT (405921 7612800)
139,405921,7612800.0,0.802,POINT (405921 7612800)
140,405921,7612800.0,0.7617,POINT (405921 7612800)
141,405920,7612800.0,0.7256,POINT (405920 7612800)
142,405921,7612800.0,0.6111,POINT (405921 7612800)
143,405922,7612800.0,0.7071999999999999,POINT (405922 7612800)
144,405922,7612800.0,0.6594,POINT (405922 7612800)
145,405922,7612800.0,0.6911,POINT (405922 7612800)
146,405923,7612800.0,0.7232999999999999,POINT (405923 7612800)
147,405924,7612800.0,0.7156,POINT (405924 7612800)
148,405925,7612800.0,0.765,POINT (405925 7612800)
149,405926,7612800.0,0.715,POINT (405926 7612800)
150,405926,7612800.0,0.7156,POINT (405926 7612800)
151,405926,7612800.0,0.74,POINT (405926 7612800)
152,405927,7612800.0,0.7306,POINT (405927 7612800)
153,405927,7612800.0,0.7611,POINT (405927 7612800)
154,405928,7612800.0,0.7033,POINT (405928 7612800)
155,405929,7612800.0,0.6694,POINT (405929 7612800)
156,405930,7612800.0,0.6594,POINT (405930 7612800)
157,405930,7612800.0,0.6633,POINT (405930 7612800)
158,405930,7612800.0,0.7444,POINT (405930 7612800)
159,405931,7612800.0,0.6794,POINT (405931 7612800)
160,405931,7612800.0,0.6544,POINT (405931 7612800)
161,405932,7612800.0,0.6644,POINT (405932 7612800)
162,405932,7612800.0,0.6622,POINT (405932 7612800)
163,405933,7612800.0,0.6656,POINT (405933 7612800)
164,405933,7612800.0,0.7361,POINT (405933 7612800)
165,405934,7612800.0,0.725,POINT (405934 7612800)
166,405933,7612800.0,0.7806000000000001,POINT (405933 7612800)
167,405933,7612800.0,0.7511,POINT (405933 7612800)
168,405932,7612790.0,0.7556,POINT (405932 7612790)
169,405931,7612790.0,0.7533,POINT (405931 7612790)
170,405931,7612790.0,0.6656,POINT (405931 7612790)
171,405931,7612790.0,0.6772,POINT (405931 7612790)
172,405931,7612790.0,0.6678000000000001,POINT (405931 7612790)
173,405930,7612790.0,0.6633,POINT (405930 7612790)
174,405930,7612790.0,0.7628,POINT (405930 7612790)
175,405928,7612790.0,0.7456,POINT (405928 7612790)
176,405927,7612790.0,0.7071999999999999,POINT (405927 7612790)
177,405927,7612790.0,0.7189,POINT (405927 7612790)
178,405926,7612790.0,0.6622,POINT (405926 7612790)
179,405925,7612790.0,0.685,POINT (405925 7612790)
180,405925,7612790.0,0.75,POINT (405925 7612790)
181,405924,7612790.0,0.6867,POINT (405924 7612790)
182,405923,7612790.0,0.7439,POINT (405923 7612790)
183,405923,7612790.0,0.7456,POINT (405923 7612790)
184,405923,7612790.0,0.7717,POINT (405923 7612790)
185,405923,7612790.0,0.7833,POINT (405923 7612790)
