,LongitudeDDDDD,LatitudeDDDDD,DepthCm,UTM_E,UTM_N,Depth_m,geometry
1,-149.32399999999998,68.6104,33.99,405447.34,7612703.5,0.33990000000000004,POINT (405447.34 7612703.5)
2,-149.32399999999998,68.6104,34.49,405449.37,7612703.3,0.34490000000000004,POINT (405449.37 7612703.3)
3,-149.32299999999998,68.6104,28.99,405450.79,7612703.2,0.2899,POINT (405450.79 7612703.2)
4,-149.32299999999998,68.6104,39.21,405451.74,7612703.0,0.3921,POINT (405451.74 7612703)
5,-149.32299999999998,68.6104,43.21,405452.41,7612703.0,0.4321,POINT (405452.41 7612703)
6,-149.32299999999998,68.6104,37.04,405453.36,7612702.9,0.3704,POINT (405453.36 7612702.9)
7,-149.32299999999998,68.6104,34.82,405453.98,7612703.1,0.3482,POINT (405453.98 7612703.1)
8,-149.32299999999998,68.6104,28.71,405454.99,7612702.9,0.2871,POINT (405454.99 7612702.9)
9,-149.32299999999998,68.6104,25.88,405455.67,7612703.0,0.2588,POINT (405455.67 7612703)
10,-149.32299999999998,68.6104,37.54,405456.95,7612702.8,0.3754,POINT (405456.95 7612702.8)
11,-149.32299999999998,68.6104,34.99,405458.51,7612702.5,0.34990000000000004,POINT (405458.51 7612702.5)
12,-149.32299999999998,68.6104,50.2,405460.33,7612702.3,0.502,POINT (405460.33 7612702.3)
13,-149.32299999999998,68.6104,52.98,405461.4,7612701.9,0.5297999999999999,POINT (405461.4 7612701.9)
14,-149.32299999999998,68.6104,54.65,405461.67,7612701.7,0.5465,POINT (405461.67 7612701.7)
15,-149.32299999999998,68.6104,39.1,405462.42,7612701.8,0.391,POINT (405462.42 7612701.8)
16,-149.32299999999998,68.6104,52.37,405462.75,7612701.6,0.5236999999999999,POINT (405462.75 7612701.6)
17,-149.32299999999998,68.6104,36.93,405465.39,7612701.5,0.3693,POINT (405465.39 7612701.5)
18,-149.32299999999998,68.6104,53.59,405466.42,7612701.9,0.5359,POINT (405466.42 7612701.9)
19,-149.32299999999998,68.6104,55.43,405466.95,7612701.5,0.5543,POINT (405466.95 7612701.5)
20,-149.32299999999998,68.6104,57.04,405468.73,7612701.8,0.5704,POINT (405468.73 7612701.8)
21,-149.32299999999998,68.6104,37.32,405469.2,7612701.6,0.3732,POINT (405469.2 7612701.6)
22,-149.32299999999998,68.6104,45.21,405469.66,7612701.2,0.4521,POINT (405469.66 7612701.2)
23,-149.32299999999998,68.6104,58.2,405470.53,7612700.8,0.5820000000000001,POINT (405470.53 7612700.8)
24,-149.32299999999998,68.6104,38.99,405472.21,7612700.3,0.3899,POINT (405472.21 7612700.3)
25,-149.32299999999998,68.6104,39.26,405472.95,7612700.3,0.3926,POINT (405472.95 7612700.3)
26,-149.32299999999998,68.6104,40.21,405474.92,7612700.4,0.4021,POINT (405474.92 7612700.4)
27,-149.32299999999998,68.6104,44.32,405475.2,7612700.6,0.4432,POINT (405475.2 7612700.6)
28,-149.32299999999998,68.6104,33.38,405476.09,7612700.6,0.33380000000000004,POINT (405476.09 7612700.6)
29,-149.32299999999998,68.6104,42.43,405476.83,7612700.5,0.4243,POINT (405476.83 7612700.5)
30,-149.32299999999998,68.6104,40.1,405477.11,7612700.7,0.401,POINT (405477.11 7612700.7)
31,-149.32299999999998,68.6104,37.76,405478.79,7612700.3,0.3776,POINT (405478.79 7612700.3)
32,-149.32299999999998,68.6104,43.76,405481.61,7612699.6,0.4376,POINT (405481.61 7612699.6)
33,-149.32299999999998,68.6104,44.26,405482.93,7612700.3,0.4426,POINT (405482.93 7612700.3)
34,-149.32299999999998,68.6104,42.37,405483.66,7612699.7,0.42369999999999997,POINT (405483.66 7612699.7)
35,-149.32299999999998,68.6104,48.48,405483.81,7612700.3,0.48479999999999995,POINT (405483.81 7612700.3)
36,-149.32299999999998,68.6104,45.93,405484.42,7612700.3,0.4593,POINT (405484.42 7612700.3)
37,-149.32299999999998,68.6104,47.87,405485.37,7612700.0,0.47869999999999996,POINT (405485.37 7612700)
38,-149.32299999999998,68.6104,38.65,405487.62,7612700.3,0.3865,POINT (405487.62 7612700.3)
39,-149.32299999999998,68.6104,51.09,405488.33,7612699.6,0.5109,POINT (405488.33 7612699.6)
40,-149.32299999999998,68.6104,56.26,405489.83,7612699.5,0.5626,POINT (405489.83 7612699.5)
41,-149.322,68.6104,51.04,405490.99,7612699.8,0.5104,POINT (405490.99 7612699.8)
42,-149.322,68.6104,44.26,405491.24,7612699.1,0.4426,POINT (405491.24 7612699.1)
43,-149.322,68.6104,55.7,405492.19,7612699.2,0.557,POINT (405492.19 7612699.2)
44,-149.322,68.6104,56.04,405494.17,7612699.3,0.5604,POINT (405494.17 7612699.3)
45,-149.322,68.6104,61.03,405495.19,7612699.5,0.6103000000000001,POINT (405495.19 7612699.5)
46,-149.322,68.6104,62.31,405495.64,7612698.9,0.6231,POINT (405495.64 7612698.9)
47,-149.322,68.6104,60.65,405495.99,7612699.1,0.6065,POINT (405495.99 7612699.1)
48,-149.322,68.6104,63.7,405495.72,7612699.3,0.637,POINT (405495.72 7612699.3)
49,-149.322,68.6104,64.87,405496.2,7612699.3,0.6487,POINT (405496.2 7612699.3)
50,-149.322,68.6104,69.25,405498.37,7612699.4,0.6925,POINT (405498.37 7612699.4)
51,-149.322,68.6104,71.2,405499.74,7612699.5,0.7120000000000001,POINT (405499.74 7612699.5)
52,-149.322,68.6104,78.53,405501.15,7612699.3,0.7853,POINT (405501.15 7612699.3)
53,-149.322,68.6104,72.75,405501.45,7612699.8,0.7275,POINT (405501.45 7612699.8)
54,-149.322,68.6104,76.86,405502.33,7612699.8,0.7686,POINT (405502.33 7612699.8)
55,-149.322,68.6104,80.6,405502.32,7612699.4,0.8059999999999999,POINT (405502.32 7612699.4)
56,-149.322,68.6104,80.5,405503.55,7612699.7,0.805,POINT (405503.55 7612699.7)
