,UTM_E,UTM_N,Depth_m,geometry
0,406005.0,7612384.0,0.92,POINT (406005 7612384)
1,406005.0,7612385.0,0.77,POINT (406005 7612385)
2,406005.0,7612386.0,0.81,POINT (406005 7612386)
3,406005.0,7612387.0,0.83,POINT (406005 7612387)
4,406005.0,7612388.0,0.84,POINT (406005 7612388)
5,406005.0,7612389.0,0.76,POINT (406005 7612389)
6,406005.0,7612390.0,0.85,POINT (406005 7612390)
7,406005.0,7612391.0,0.87,POINT (406005 7612391)
8,406005.0,7612392.0,0.92,POINT (406005 7612392)
9,406005.0,7612393.0,0.99,POINT (406005 7612393)
10,406005.0,7612394.0,0.92,POINT (406005 7612394)
11,406005.0,7612395.0,1.01,POINT (406005 7612395)
12,406005.0,7612396.0,1.0,POINT (406005 7612396)
13,406005.0,7612397.0,1.14,POINT (406005 7612397)
14,406005.0,7612398.0,1.3,POINT (406005 7612398)
15,406005.0,7612399.0,1.3,POINT (406005 7612399)
16,406005.0,7612400.0,1.45,POINT (406005 7612400)
17,406005.0,7612401.0,1.47,POINT (406005 7612401)
18,406005.0,7612402.0,1.68,POINT (406005 7612402)
19,406005.0,7612403.0,1.85,POINT (406005 7612403)
20,406005.0,7612404.0,1.3,POINT (406005 7612404)
21,406005.0,7612405.0,1.33,POINT (406005 7612405)
22,406005.0,7612406.0,2.1,POINT (406005 7612406)
23,406005.0,7612407.0,2.2,POINT (406005 7612407)
24,406005.0,7612408.0,2.31,POINT (406005 7612408)
25,406005.0,7612409.0,2.34,POINT (406005 7612409)
26,406005.0,7612410.0,2.4,POINT (406005 7612410)
27,406005.0,7612411.0,2.32,POINT (406005 7612411)
28,406005.0,7612412.0,2.38,POINT (406005 7612412)
29,406005.0,7612413.0,2.3,POINT (406005 7612413)
30,406005.0,7612414.0,2.31,POINT (406005 7612414)
31,406005.0,7612415.0,2.32,POINT (406005 7612415)
32,406005.0,7612416.0,2.26,POINT (406005 7612416)
33,406005.0,7612417.0,2.2,POINT (406005 7612417)
34,406005.0,7612418.0,2.08,POINT (406005 7612418)
35,406005.0,7612419.0,1.98,POINT (406005 7612419)
36,406005.0,7612420.0,1.91,POINT (406005 7612420)
37,406005.0,7612421.0,1.87,POINT (406005 7612421)
38,406005.0,7612422.0,1.86,POINT (406005 7612422)
39,406005.0,7612423.0,1.78,POINT (406005 7612423)
40,406005.0,7612424.0,1.68,POINT (406005 7612424)
41,406005.0,7612425.0,1.56,POINT (406005 7612425)
42,406005.0,7612426.0,1.48,POINT (406005 7612426)
43,406005.0,7612427.0,1.46,POINT (406005 7612427)
44,406005.0,7612428.0,1.37,POINT (406005 7612428)
45,406005.0,7612429.0,1.32,POINT (406005 7612429)
46,406005.0,7612430.0,1.25,POINT (406005 7612430)
47,406005.0,7612431.0,1.15,POINT (406005 7612431)
48,406005.0,7612432.0,1.1,POINT (406005 7612432)
49,406005.0,7612433.0,1.04,POINT (406005 7612433)
50,406005.0,7612434.0,0.98,POINT (406005 7612434)
51,406005.0,7612435.0,0.93,POINT (406005 7612435)
52,406005.0,7612436.0,0.89,POINT (406005 7612436)
53,406005.0,7612437.0,0.88,POINT (406005 7612437)
54,406005.0,7612438.0,0.83,POINT (406005 7612438)
55,406005.0,7612439.0,0.81,POINT (406005 7612439)
