,RECORD,Counter,Depth_m,LatitudeDDDDD,LongitudeDDDDD,geometry
0,2193,1410000.0,0.48700000000000004,69.1605,-148.94899999999998,POINT (-148.949 69.1605)
1,2194,1410000.0,0.5307999999999999,69.1605,-148.94899999999998,POINT (-148.949 69.1605)
2,2195,1410000.0,0.5943999999999999,69.1605,-148.94899999999998,POINT (-148.949 69.1605)
3,2196,1410000.0,0.4971,69.1605,-148.94899999999998,POINT (-148.949 69.1605)
4,2197,1410000.0,0.5072,69.1604,-148.94899999999998,POINT (-148.949 69.1604)
5,2198,1410010.0,0.5427000000000001,69.1604,-148.94899999999998,POINT (-148.949 69.1604)
6,2199,1410010.0,0.5702,69.1604,-148.94899999999998,POINT (-148.949 69.1604)
7,2200,1410010.0,0.4926,69.1604,-148.94899999999998,POINT (-148.949 69.1604)
8,2201,1410010.0,0.5207,69.1604,-148.94899999999998,POINT (-148.949 69.1604)
9,2202,1410010.0,0.528,69.1604,-148.94899999999998,POINT (-148.949 69.1604)
10,2203,1410010.0,0.6253,69.1603,-148.94899999999998,POINT (-148.949 69.16030000000001)
11,2204,1410010.0,0.532,69.1603,-148.94899999999998,POINT (-148.949 69.16030000000001)
12,2205,1410010.0,0.5792,69.1603,-148.94899999999998,POINT (-148.949 69.16030000000001)
13,2206,1410010.0,0.4611,69.1603,-148.94899999999998,POINT (-148.949 69.16030000000001)
14,2207,1410020.0,0.5578,69.1603,-148.94899999999998,POINT (-148.949 69.16030000000001)
15,2208,1410020.0,0.47740000000000005,69.1603,-148.94899999999998,POINT (-148.949 69.16030000000001)
16,2209,1410020.0,0.5263,69.1603,-148.94899999999998,POINT (-148.949 69.16030000000001)
17,2210,1410020.0,0.47909999999999997,69.1603,-148.94899999999998,POINT (-148.949 69.16030000000001)
18,2211,1410020.0,0.6422,69.1602,-148.94899999999998,POINT (-148.949 69.1602)
19,2212,1410020.0,0.6214,69.1602,-148.94899999999998,POINT (-148.949 69.1602)
20,2213,1410020.0,0.5106,69.1602,-148.94899999999998,POINT (-148.949 69.1602)
21,2214,1410020.0,0.5938,69.1602,-148.94899999999998,POINT (-148.949 69.1602)
22,2215,1410020.0,0.6372,69.1602,-148.94899999999998,POINT (-148.949 69.1602)
23,2216,1410020.0,0.5674,69.1602,-148.94899999999998,POINT (-148.949 69.1602)
24,2217,1410020.0,0.6158,69.1601,-148.94899999999998,POINT (-148.949 69.1601)
25,2218,1410030.0,0.6327,69.1601,-148.94899999999998,POINT (-148.949 69.1601)
26,2219,1410030.0,0.6805,69.1601,-148.94899999999998,POINT (-148.949 69.1601)
27,2220,1410030.0,0.7170000000000001,69.1601,-148.94899999999998,POINT (-148.949 69.1601)
28,2221,1410030.0,0.7564,69.1601,-148.94899999999998,POINT (-148.949 69.1601)
29,2222,1410030.0,0.805,69.1601,-148.94899999999998,POINT (-148.949 69.1601)
30,2223,1410030.0,0.775,69.1601,-148.94899999999998,POINT (-148.949 69.1601)
31,2224,1410030.0,0.863,69.16,-148.94899999999998,POINT (-148.949 69.16)
32,2225,1410030.0,0.7575,69.16,-148.94899999999998,POINT (-148.949 69.16)
33,2226,1410030.0,0.6923,69.16,-148.94899999999998,POINT (-148.949 69.16)
34,2227,1410040.0,0.7434999999999999,69.16,-148.94899999999998,POINT (-148.949 69.16)
35,2228,1410040.0,0.6275999999999999,69.16,-148.94899999999998,POINT (-148.949 69.16)
36,2229,1410040.0,0.8140000000000001,69.16,-148.94899999999998,POINT (-148.949 69.16)
37,2230,1410040.0,0.7103,69.16,-148.94899999999998,POINT (-148.949 69.16)
38,2231,1410040.0,0.6984999999999999,69.16,-148.94899999999998,POINT (-148.949 69.16)
39,2232,1410040.0,0.7103,69.16,-148.94899999999998,POINT (-148.949 69.16)
40,2233,1410040.0,0.7232,69.1599,-148.94899999999998,POINT (-148.949 69.15989999999999)
41,2234,1410040.0,0.6844,69.1599,-148.94899999999998,POINT (-148.949 69.15989999999999)
42,2235,1410040.0,0.6951,69.1599,-148.94899999999998,POINT (-148.949 69.15989999999999)
43,2236,1410040.0,0.5623,69.1599,-148.94899999999998,POINT (-148.949 69.15989999999999)
44,2237,1410040.0,0.6883,69.1599,-148.94899999999998,POINT (-148.949 69.15989999999999)
45,2238,1410050.0,0.6275999999999999,69.1599,-148.94899999999998,POINT (-148.949 69.15989999999999)
46,2239,1410050.0,0.6692,69.1598,-148.94899999999998,POINT (-148.949 69.1598)
47,2240,1410050.0,0.5072,69.1598,-148.94899999999998,POINT (-148.949 69.1598)
48,2241,1410050.0,0.631,69.1598,-148.94899999999998,POINT (-148.949 69.1598)
49,2242,1410050.0,0.6394,69.1598,-148.94899999999998,POINT (-148.949 69.1598)
50,2243,1410050.0,0.6675,69.1598,-148.94899999999998,POINT (-148.949 69.1598)
51,2244,1410050.0,0.6462,69.1598,-148.94899999999998,POINT (-148.949 69.1598)
52,2245,1410050.0,0.7643000000000001,69.1598,-148.94899999999998,POINT (-148.949 69.1598)
53,2246,1410050.0,0.6265,69.1597,-148.94899999999998,POINT (-148.949 69.1597)
54,2247,1410060.0,0.6618999999999999,69.1597,-148.94899999999998,POINT (-148.949 69.1597)
55,2248,1410060.0,0.6214,69.1597,-148.94899999999998,POINT (-148.949 69.1597)
56,2249,1410060.0,0.5690999999999999,69.1597,-148.94899999999998,POINT (-148.949 69.1597)
57,2250,1410060.0,0.7739,69.1597,-148.94899999999998,POINT (-148.949 69.1597)
58,2251,1410060.0,0.6895,69.1597,-148.94899999999998,POINT (-148.949 69.1597)
59,2252,1410060.0,0.6507,69.1597,-148.94899999999998,POINT (-148.949 69.1597)
60,2253,1410060.0,0.828,69.1597,-148.94899999999998,POINT (-148.949 69.1597)
61,2254,1410060.0,0.6568,69.1597,-148.94899999999998,POINT (-148.949 69.1597)
62,2255,1410060.0,0.6838,69.1596,-148.94899999999998,POINT (-148.949 69.1596)
63,2256,1410060.0,0.6546,69.1596,-148.94899999999998,POINT (-148.949 69.1596)
64,2257,1410060.0,0.7238,69.1596,-148.94899999999998,POINT (-148.949 69.1596)
65,2258,1410070.0,0.7187,69.1596,-148.94899999999998,POINT (-148.949 69.1596)
66,2259,1410070.0,0.7238,69.1596,-148.94899999999998,POINT (-148.949 69.1596)
67,2260,1410070.0,0.6411,69.1596,-148.94899999999998,POINT (-148.949 69.1596)
68,2261,1410070.0,0.649,69.1596,-148.94899999999998,POINT (-148.949 69.1596)
69,2262,1410070.0,0.6085,69.1595,-148.94899999999998,POINT (-148.949 69.15949999999999)
70,2263,1410070.0,0.6169,69.1595,-148.94899999999998,POINT (-148.949 69.15949999999999)
71,2264,1410070.0,0.6107,69.1595,-148.94899999999998,POINT (-148.949 69.15949999999999)
72,2265,1410070.0,0.6816,69.1595,-148.94899999999998,POINT (-148.949 69.15949999999999)
73,2266,1410070.0,0.6417,69.1595,-148.94899999999998,POINT (-148.949 69.15949999999999)
74,2267,1410080.0,0.6934,69.1595,-148.94899999999998,POINT (-148.949 69.15949999999999)
75,2268,1410080.0,0.631,69.1595,-148.94899999999998,POINT (-148.949 69.15949999999999)
76,2269,1410080.0,0.5668,69.1595,-148.94899999999998,POINT (-148.949 69.15949999999999)
77,2270,1410080.0,0.6428,69.1595,-148.94899999999998,POINT (-148.949 69.15949999999999)
78,2271,1410080.0,0.483,69.1594,-148.94899999999998,POINT (-148.949 69.15940000000001)
79,2272,1410080.0,0.532,69.1594,-148.94899999999998,POINT (-148.949 69.15940000000001)
80,2273,1410080.0,0.5742,69.1594,-148.94899999999998,POINT (-148.949 69.15940000000001)
81,2274,1410080.0,0.6062,69.1594,-148.94899999999998,POINT (-148.949 69.15940000000001)
82,2275,1410080.0,0.6478,69.1594,-148.94899999999998,POINT (-148.949 69.15940000000001)
83,2276,1410080.0,0.45880000000000004,69.1594,-148.94899999999998,POINT (-148.949 69.15940000000001)
84,2277,1410080.0,0.5382,69.1594,-148.94899999999998,POINT (-148.949 69.15940000000001)
85,2278,1410090.0,0.6523,69.1593,-148.94899999999998,POINT (-148.949 69.1593)
86,2279,1410090.0,0.47850000000000004,69.1593,-148.94899999999998,POINT (-148.949 69.1593)
87,2280,1410090.0,0.7502,69.1593,-148.94899999999998,POINT (-148.949 69.1593)
88,2281,1410090.0,0.7508,69.1593,-148.94899999999998,POINT (-148.949 69.1593)
89,2282,1410090.0,0.6816,69.1593,-148.94899999999998,POINT (-148.949 69.1593)
90,2283,1410090.0,0.7564,69.1593,-148.94899999999998,POINT (-148.949 69.1593)
91,2284,1410090.0,0.672,69.1593,-148.94899999999998,POINT (-148.949 69.1593)
92,2285,1410090.0,0.7440000000000001,69.1593,-148.94899999999998,POINT (-148.949 69.1593)
93,2286,1410090.0,0.6535,69.1592,-148.94899999999998,POINT (-148.949 69.1592)
94,2287,1410100.0,0.7238,69.1592,-148.94899999999998,POINT (-148.949 69.1592)
95,2288,1410100.0,0.7086,69.1592,-148.94899999999998,POINT (-148.949 69.1592)
96,2289,1410100.0,0.5815,69.1592,-148.94899999999998,POINT (-148.949 69.1592)
97,2290,1410100.0,0.6501,69.1592,-148.94899999999998,POINT (-148.949 69.1592)
98,2291,1410100.0,0.5809000000000001,69.1592,-148.94899999999998,POINT (-148.949 69.1592)
99,2292,1410100.0,0.6124,69.1592,-148.94899999999998,POINT (-148.949 69.1592)
100,2293,1410100.0,0.6057,69.1591,-148.94899999999998,POINT (-148.949 69.1591)
101,2294,1410100.0,0.6507,69.1591,-148.94899999999998,POINT (-148.949 69.1591)
102,2295,1410100.0,0.6197,69.1591,-148.94899999999998,POINT (-148.949 69.1591)
103,2296,1410100.0,0.6208,69.1591,-148.94899999999998,POINT (-148.949 69.1591)
104,2297,1410100.0,0.6557,69.1591,-148.94899999999998,POINT (-148.949 69.1591)
105,2298,1410110.0,0.6388,69.1591,-148.94899999999998,POINT (-148.949 69.1591)
106,2299,1410110.0,0.5145000000000001,69.1591,-148.94899999999998,POINT (-148.949 69.1591)
107,2300,1410110.0,0.5652,69.1591,-148.94899999999998,POINT (-148.949 69.1591)
108,2301,1410110.0,0.5427000000000001,69.15899999999999,-148.94899999999998,POINT (-148.949 69.15899999999999)
109,2302,1410110.0,0.5275,69.15899999999999,-148.94899999999998,POINT (-148.949 69.15899999999999)
110,2303,1410110.0,0.478,69.15899999999999,-148.94899999999998,POINT (-148.949 69.15899999999999)
111,2304,1410110.0,0.5764,69.15899999999999,-148.94899999999998,POINT (-148.949 69.15899999999999)
112,2305,1410110.0,0.6062,69.15899999999999,-148.94899999999998,POINT (-148.949 69.15899999999999)
113,2306,1410110.0,0.478,69.15899999999999,-148.94899999999998,POINT (-148.949 69.15899999999999)
114,2307,1410120.0,0.6523,69.15899999999999,-148.94899999999998,POINT (-148.949 69.15899999999999)
115,2308,1410120.0,0.6147,69.15899999999999,-148.94899999999998,POINT (-148.949 69.15899999999999)
116,2309,1410120.0,0.6169,69.1589,-148.94899999999998,POINT (-148.949 69.1589)
117,2310,1410120.0,0.5708,69.1589,-148.94899999999998,POINT (-148.949 69.1589)
118,2311,1410120.0,0.6478,69.1589,-148.94899999999998,POINT (-148.949 69.1589)
119,2312,1410120.0,0.7153,69.1589,-148.94899999999998,POINT (-148.949 69.1589)
120,2313,1410120.0,0.6253,69.1589,-148.94899999999998,POINT (-148.949 69.1589)
121,2314,1410120.0,0.5719,69.1589,-148.94899999999998,POINT (-148.949 69.1589)
122,2315,1410120.0,0.5922,69.1589,-148.94899999999998,POINT (-148.949 69.1589)
123,2316,1410120.0,0.6535,69.1589,-148.94899999999998,POINT (-148.949 69.1589)
124,2317,1410120.0,0.6962,69.1589,-148.94899999999998,POINT (-148.949 69.1589)
125,2318,1410130.0,0.645,69.1588,-148.94899999999998,POINT (-148.949 69.1588)
126,2319,1410130.0,0.7345,69.1588,-148.94899999999998,POINT (-148.949 69.1588)
127,2320,1410130.0,0.7034999999999999,69.1588,-148.94899999999998,POINT (-148.949 69.1588)
128,2321,1410130.0,0.802,69.1588,-148.94899999999998,POINT (-148.949 69.1588)
129,2322,1410130.0,0.7817000000000001,69.1588,-148.94899999999998,POINT (-148.949 69.1588)
130,2323,1410130.0,0.721,69.1588,-148.94899999999998,POINT (-148.949 69.1588)
131,2324,1410130.0,0.7536,69.1588,-148.94899999999998,POINT (-148.949 69.1588)
132,2325,1410130.0,0.568,69.1588,-148.94899999999998,POINT (-148.949 69.1588)
133,2326,1410130.0,0.7406999999999999,69.1587,-148.94899999999998,POINT (-148.949 69.1587)
134,2327,1410140.0,0.5618,69.1587,-148.94899999999998,POINT (-148.949 69.1587)
135,2328,1410140.0,0.6062,69.1587,-148.94899999999998,POINT (-148.949 69.1587)
136,2329,1410140.0,0.5539000000000001,69.1587,-148.94899999999998,POINT (-148.949 69.1587)
137,2330,1410140.0,0.6321,69.1587,-148.94899999999998,POINT (-148.949 69.1587)
138,2331,1410140.0,0.5466,69.1587,-148.94899999999998,POINT (-148.949 69.1587)
139,2332,1410140.0,0.5702,69.1587,-148.94899999999998,POINT (-148.949 69.1587)
140,2333,1410140.0,0.6726000000000001,69.1587,-148.94899999999998,POINT (-148.949 69.1587)
141,2334,1410140.0,0.595,69.1587,-148.94899999999998,POINT (-148.949 69.1587)
142,2335,1410140.0,0.6056,69.1586,-148.94899999999998,POINT (-148.949 69.15860000000001)
143,2336,1410140.0,0.6225,69.1586,-148.94899999999998,POINT (-148.949 69.15860000000001)
144,2337,1410140.0,0.5826,69.1586,-148.94899999999998,POINT (-148.949 69.15860000000001)
145,2338,1410150.0,0.4498,69.1586,-148.94899999999998,POINT (-148.949 69.15860000000001)
146,2339,1410150.0,0.4802,69.1586,-148.95,POINT (-148.95 69.15860000000001)
147,2340,1410150.0,0.5185,69.1586,-148.95,POINT (-148.95 69.15860000000001)
148,2341,1410150.0,0.4796,69.1586,-148.95,POINT (-148.95 69.15860000000001)
149,2342,1410150.0,0.5353,69.1585,-148.95,POINT (-148.95 69.1585)
150,2343,1410150.0,0.5634,69.1585,-148.95,POINT (-148.95 69.1585)
151,2344,1410150.0,0.5769,69.1585,-148.95,POINT (-148.95 69.1585)
152,2345,1410150.0,0.4093,69.1585,-148.95,POINT (-148.95 69.1585)
153,2346,1410150.0,0.6236,69.1585,-148.95,POINT (-148.95 69.1585)
154,2347,1410160.0,0.546,69.1585,-148.95,POINT (-148.95 69.1585)
155,2348,1410160.0,0.4571,69.1585,-148.95,POINT (-148.95 69.1585)
156,2349,1410160.0,0.4656,69.1585,-148.95,POINT (-148.95 69.1585)
157,2350,1410160.0,0.48469999999999996,69.1584,-148.95,POINT (-148.95 69.1584)
158,2351,1410160.0,0.4959,69.1584,-148.95,POINT (-148.95 69.1584)
159,2352,1410160.0,0.627,69.1584,-148.95,POINT (-148.95 69.1584)
160,2353,1410160.0,0.5961,69.1584,-148.95,POINT (-148.95 69.1584)
161,2354,1410160.0,0.6894,69.1584,-148.95,POINT (-148.95 69.1584)
162,2355,1410160.0,0.6742,69.1584,-148.95,POINT (-148.95 69.1584)
163,2356,1410160.0,0.659,69.1584,-148.95,POINT (-148.95 69.1584)
164,2357,1410160.0,0.6607,69.1584,-148.95,POINT (-148.95 69.1584)
165,2358,1410170.0,0.5848,69.1584,-148.95,POINT (-148.95 69.1584)
166,2359,1410170.0,0.7277,69.1583,-148.95,POINT (-148.95 69.1583)
167,2360,1410170.0,0.65,69.1583,-148.95,POINT (-148.95 69.1583)
168,2361,1410170.0,0.5471,69.1583,-148.95,POINT (-148.95 69.1583)
169,2362,1410170.0,0.6264,69.1583,-148.95,POINT (-148.95 69.1583)
170,2363,1410170.0,0.6084,69.1583,-148.95,POINT (-148.95 69.1583)
