,DateTime,Depth_m,ID,geometry,lat,lon
0,54:53.8,0.3475,100008,POINT (422441.6008775263 7671559.210565417),69.1431516667,-148.9522216667
1,54:54.2,0.4748,100009,POINT (422441.1316003972 7671559.039557408),69.14315,-148.9522333333
2,54:54.8,0.5737,100010,POINT (422441.7946537342 7671556.972970283),69.1431316667,-148.952215
3,4/15/2017 12:54,0.5148,100011,POINT (422442.4329344413 7671556.208828356),69.143125,-148.9521983333
4,54:55.5,0.6465,100012,POINT (422442.9814111083 7671554.705598919),69.1431116833,-148.9521833333
5,4/15/2017 12:54,0.6721,100013,POINT (422442.8134586073 7671553.593384983),69.1431016667,-148.9521866667
6,54:56.5,0.6048,100014,POINT (422442.7235987343 7671552.852435837),69.143095,-148.9521883333
7,4/15/2017 12:54,0.6415,100015,POINT (422443.6148241238 7671551.708337462),69.143085,-148.952165
8,54:57.5,0.6577,100016,POINT (422443.8441040715 7671550.585323174),69.143075,-148.9521583333
9,4/15/2017 12:54,0.5848,100017,POINT (422443.7246565606 7671548.915560621),69.14306,-148.95216
10,54:58.3,0.5459,100018,POINT (422443.5626840215 7671547.990963873),69.1430516667,-148.9521633333
11,54:58.7,0.5804,100019,POINT (422443.4007070576 7671547.066356115),69.1430433333,-148.9521666667
12,54:59.2,0.5504,100020,POINT (422443.2930971124 7671545.768127773),69.1430316667,-148.9521683333
13,54:59.5,0.5342,100021,POINT (422443.3663174846 7671543.906272865),69.143015,-148.952165
14,55:00.2,0.6143,100022,POINT (422442.7953400352 7671542.622792318),69.1430033333,-148.9521783333
15,55:00.7,0.5976,100023,POINT (422443.1688436108 7671541.867095493),69.1429966667,-148.9521683333
16,55:01.3,0.5203,100024,POINT (422442.8082807772 7671540.948813015),69.1429883333,-148.9521766667
17,55:01.8,0.4598,100025,POINT (422442.8389761433 7671539.832123909),69.1429783333,-148.952175
18,55:02.2,0.5793,100026,POINT (422442.6048893799 7671538.723868534),69.1429683333,-148.95218
19,55:02.8,0.4236,100027,POINT (422443.3093684427 7671537.957629674),69.1429616667,-148.9521616667
20,55:03.3,0.4547,100028,POINT (422443.4003438435 7671536.653064975),69.14295,-148.9521583333
21,4/15/2017 12:55,0.5331,100029,POINT (422443.6296216105 7671535.530050809),69.14294,-148.9521516667
22,55:04.5,0.6126,100030,POINT (422443.985376072 7671534.217052647),69.1429283333,-148.9521416667
23,55:04.8,0.6471,100031,POINT (422443.6980385956 7671531.43692619),69.1429033333,-148.9521466667
24,55:05.2,0.4781,100032,POINT (422443.6684548981 7671530.508112698),69.142895,-148.9521466667
25,55:05.8,0.6788,100033,POINT (422443.2782520894 7671528.65916633),69.1428783167,-148.952155
26,55:06.3,0.6204,100034,POINT (422443.3385912903 7671528.473152078),69.1428766667,-148.9521533333
27,4/15/2017 12:55,0.5415,100035,POINT (422443.8987910499 7671527.337734517),69.14286665,-148.9521383333
28,55:07.5,0.5782,100036,POINT (422444.332632636 7671526.396012632),69.1428583333,-148.9521266667
29,55:07.8,0.656,100037,POINT (422443.7379855101 7671524.369485524),69.14284,-148.95213999999999
30,55:08.5,0.6388,100038,POINT (422443.9069295394 7671523.432485515),69.14283165,-148.952135
31,55:09.3,0.6032,100039,POINT (422444.0937420665 7671523.056487395),69.1428283333,-148.95213
32,4/15/2017 12:55,0.5865,100040,POINT (422444.1244388069 7671521.939798323),69.1428183333,-148.9521283333
33,55:10.5,0.5893,100041,POINT (422444.0771052924 7671520.453694506),69.142805,-148.9521283333
34,55:11.3,0.5715,100042,POINT (422444.3004685985 7671519.144913269),69.1427933333,-148.9521216667
35,4/15/2017 12:55,0.5882,100043,POINT (422444.3252491641 7671517.842468192),69.1427816667,-148.95212
36,55:12.8,0.6927,100044,POINT (422444.217635159 7671516.544228807),69.14277,-148.9521216667
37,55:13.5,0.6454,100045,POINT (422444.1217993856 7671515.615662264),69.14276165,-148.9521233333
38,4/15/2017 12:55,0.7188,100046,POINT (422444.7305647552 7671513.924569),69.1427466667,-148.9521066667
39,55:14.5,0.868,100047,POINT (422444.1241413295 7671511.528368836),69.1427250167,-148.95212
40,55:14.7,0.951,100048,POINT (422444.3652004574 7671510.775016461),69.1427183333,-148.9521133333
41,4/15/2017 12:55,1.025,100049,POINT (422445.5153123435 7671509.436729352),69.1427066667,-148.9520833333
42,55:15.2,1.25,100050,POINT (422445.1843296296 7671509.44727117),69.1427066667,-148.9520916667
43,55:15.8,1.45,100051,POINT (422445.6358107743 7671509.059128193),69.1427033167,-148.95208
44,55:16.2,1.6,100052,POINT (422445.3840325187 7671507.39543244),69.1426883333,-148.952085
45,55:16.7,1.51,100053,POINT (422445.6735959799 7671506.084554106),69.1426766667,-148.9520766667
46,55:17.3,1.26,100054,POINT (422443.9642725484 7671506.509033261),69.1426799833,-148.95212
47,55:17.7,1.29,100055,POINT (422443.699486853 7671506.517466855),69.1426799833,-148.9521266667
48,55:18.5,1.38,100056,POINT (422444.2964254388 7671504.454850213),69.1426616667,-148.95211
49,4/15/2017 12:55,1.37,100057,POINT (422443.0457273174 7671502.635163163),69.142645,-148.95213999999999
50,55:19.7,1.32,100058,POINT (422443.7513909127 7671499.825272162),69.1426200167,-148.95212
51,55:20.3,1.33,100059,POINT (422443.5290759403 7671499.086678522),69.1426133333,-148.952125
52,4/15/2017 12:55,1.194,100060,POINT (422442.6933034154 7671497.81164277),69.1426016667,-148.952145
53,55:21.5,1.25,100061,POINT (422443.8741184478 7671495.356654705),69.14258,-148.9521133333
54,4/15/2017 12:55,1.33,100062,POINT (422443.2853776182 7671493.515883845),69.1425633333,-148.9521266667
55,55:22.7,1.198,100063,POINT (422444.4839457416 7671491.618197551),69.1425466667,-148.952095
