,ID,lat,lon,DateTime,Depth_m,geometry
9,1510001,69.14312,-148.9533766,2017-04-15 12:45:52.5,0.5251,POINT (-148.9533766 69.14312)
10,1510002,69.1431183,-148.9533784,2017-04-15 12:45:53.25,0.4813,POINT (-148.9533784 69.1431183)
11,1510003,69.1431017,-148.953345,2017-04-15 12:45:54,0.6916,POINT (-148.953345 69.1431017)
12,1510004,69.1430867,-148.9533234,2017-04-15 12:45:54.5,0.5094,POINT (-148.9533234 69.1430867)
13,1510005,69.1430617,-148.9533017,2017-04-15 12:45:55.25,0.6089,POINT (-148.9533017 69.1430617)
14,1510006,69.1430533,-148.9533183,2017-04-15 12:45:55.75,0.4621,POINT (-148.9533183 69.14305330000001)
15,1510007,69.1430367,-148.953335,2017-04-15 12:45:56.5,0.5532,POINT (-148.953335 69.1430367)
16,1510008,69.1430117,-148.9533417,2017-04-15 12:45:57.25,0.5757,POINT (-148.9533417 69.1430117)
17,1510009,69.1429934,-148.9533434,2017-04-15 12:45:58,0.5819,POINT (-148.9533434 69.14299339999999)
18,1510010,69.1429783,-148.9533434,2017-04-15 12:45:58.75,0.44530000000000003,POINT (-148.9533434 69.1429783)
19,1510011,69.1429533,-148.9533417,2017-04-15 12:45:59.5,0.6224000000000001,POINT (-148.9533417 69.1429533)
20,1510012,69.1429433,-148.95338,2017-04-15 12:46:00.25,0.5943,POINT (-148.95338 69.1429433)
21,1510013,69.1429167,-148.953365,2017-04-15 12:46:01,0.6455,POINT (-148.953365 69.1429167)
22,1510014,69.1429017,-148.95335,2017-04-15 12:46:01.75,0.6015999999999999,POINT (-148.95335 69.1429017)
23,1510015,69.1428817,-148.9533533,2017-04-15 12:46:02.5,0.628,POINT (-148.9533533 69.1428817)
24,1510016,69.1428667,-148.953355,2017-04-15 12:46:03,0.6753,POINT (-148.953355 69.1428667)
25,1510017,69.1428567,-148.9533567,2017-04-15 12:46:03.75,0.5195000000000001,POINT (-148.9533567 69.1428567)
26,1510018,69.14284,-148.9533533,2017-04-15 12:46:04.5,0.7,POINT (-148.9533533 69.14284000000001)
27,1510019,69.1428267,-148.95334,2017-04-15 12:46:05.25,0.5313,POINT (-148.95334 69.1428267)
28,1510020,69.14282,-148.9533333,2017-04-15 12:46:06,0.4914,POINT (-148.9533333 69.14282)
29,1510021,69.14281,-148.9533283,2017-04-15 12:46:06.75,0.5549000000000001,POINT (-148.9533283 69.14281)
30,1510022,69.1428,-148.9533234,2017-04-15 12:46:07.5,0.6899,POINT (-148.9533234 69.14279999999999)
31,1510023,69.1427817,-148.9533266,2017-04-15 12:46:08.25,0.6978,POINT (-148.9533266 69.1427817)
32,1510024,69.1427683,-148.9533167,2017-04-15 12:46:08.75,0.7923,POINT (-148.9533167 69.1427683)
33,1510025,69.1427533,-148.953305,2017-04-15 12:46:09.25,0.826,POINT (-148.953305 69.1427533)
34,1510026,69.14275,-148.9533066,2017-04-15 12:46:09.75,0.985,POINT (-148.9533066 69.14275000000001)
35,1510027,69.142735,-148.953285,2017-04-15 12:46:10.25,1.122,POINT (-148.953285 69.142735)
36,1510028,69.14272,-148.95328,2017-04-15 12:46:11,1.2,POINT (-148.95328 69.14272)
37,1510029,69.1426883,-148.953235,2017-04-15 12:46:11.75,1.2,POINT (-148.953235 69.1426883)
38,1510030,69.1426717,-148.9532634,2017-04-15 12:46:12.5,1.199,POINT (-148.9532634 69.14267169999999)
39,1510031,69.1426633,-148.9532683,2017-04-15 12:46:13,1.2,POINT (-148.9532683 69.1426633)
40,1510032,69.1426533,-148.9532317,2017-04-15 12:46:13.5,0.956,POINT (-148.9532317 69.14265330000001)
41,1510033,69.1426434,-148.9532183,2017-04-15 12:46:14,0.7956,POINT (-148.9532183 69.1426434)
42,1510034,69.1426283,-148.9532134,2017-04-15 12:46:14.5,0.6859000000000001,POINT (-148.9532134 69.1426283)
43,1510035,69.1426117,-148.9532083,2017-04-15 12:46:15,0.4632,POINT (-148.9532083 69.1426117)
44,1510036,69.1425983,-148.9531983,2017-04-15 12:46:15.5,0.3564,POINT (-148.9531983 69.1425983)
45,1510037,69.142585,-148.9531966,2017-04-15 12:46:16,0.5555,POINT (-148.9531966 69.142585)
46,1510038,69.142575,-148.9532234,2017-04-15 12:46:16.75,0.4756,POINT (-148.9532234 69.14257499999999)
47,1510039,69.1425433,-148.9532083,2017-04-15 12:46:17.5,0.4497,POINT (-148.9532083 69.1425433)
48,1510040,69.1425333,-148.95321,2017-04-15 12:46:18,0.4863,POINT (-148.95321 69.1425333)
49,1510041,69.1425167,-148.9532001,2017-04-15 12:46:18.5,0.48460000000000003,POINT (-148.9532001 69.1425167)
