,nrmse,ssim,cwssim,gms,Zone,Study Area,Winters
0,0.6910000000000001,0.8183222292815151,0.8015,0.8420000000000001,clpx_swale,CLPX,2015 v. 2018
1,0.716,0.8930996794839909,0.7695000000000001,0.867,clpx_swale,CLPX,2013 v. 2018
2,0.706,0.8934462485902077,0.804,0.8690000000000001,clpx_swale,CLPX,2012 v. 2018
3,0.76,0.8801816209653655,0.8340000000000001,0.865,clpx_swale,CLPX,2017 v. 2018
4,0.7090000000000001,0.8591400772026967,0.7909999999999999,0.863,clpx_swale,CLPX,2016 v. 2018
5,0.775,0.8499109148748489,0.7965,0.8290000000000001,clpx_swale,CLPX,2013 v. 2015
6,0.6719999999999999,0.8332129721656254,0.815,0.83,clpx_swale,CLPX,2012 v. 2015
7,0.612,0.8057045611001692,0.8,0.833,clpx_swale,CLPX,2015 v. 2017
8,0.643,0.8012042578306782,0.8145,0.841,clpx_swale,CLPX,2015 v. 2016
9,0.7829999999999999,0.9352546991977316,0.8089999999999999,0.9159999999999999,clpx_swale,CLPX,2012 v. 2013
10,0.645,0.8934732479106647,0.772,0.8909999999999999,clpx_swale,CLPX,2013 v. 2017
11,0.73,0.8861300970692711,0.8059999999999999,0.863,clpx_swale,CLPX,2013 v. 2016
12,0.6599999999999999,0.9059992627623096,0.7985,0.893,clpx_swale,CLPX,2012 v. 2017
13,0.76,0.8931131245710429,0.8140000000000001,0.8640000000000001,clpx_swale,CLPX,2012 v. 2016
14,0.722,0.8750537066233566,0.7945,0.861,clpx_swale,CLPX,2016 v. 2017
0,0.812,0.9161511610467163,0.8485,0.888,clpx_watertracks_creek,CLPX,2017 v. 2018
1,0.831,0.8700883063003044,0.8160000000000001,0.856,clpx_watertracks_creek,CLPX,2015 v. 2017
2,0.763,0.8865348832539115,0.8015,0.867,clpx_watertracks_creek,CLPX,2016 v. 2017
3,0.795,0.919175991603702,0.7949999999999999,0.893,clpx_watertracks_creek,CLPX,2013 v. 2017
4,0.562,0.8497202874845906,0.8190000000000001,0.88,clpx_watertracks_creek,CLPX,2012 v. 2017
5,0.81,0.8693773898776992,0.8079999999999999,0.858,clpx_watertracks_creek,CLPX,2015 v. 2018
6,0.6910000000000001,0.8748922466745277,0.7949999999999999,0.8690000000000001,clpx_watertracks_creek,CLPX,2016 v. 2018
7,0.736,0.9121578558646252,0.7835,0.893,clpx_watertracks_creek,CLPX,2013 v. 2018
8,0.505,0.8290973789116035,0.8140000000000001,0.88,clpx_watertracks_creek,CLPX,2012 v. 2018
9,0.759,0.8461442484676416,0.8109999999999999,0.852,clpx_watertracks_creek,CLPX,2015 v. 2016
10,0.8,0.874226685330225,0.812,0.855,clpx_watertracks_creek,CLPX,2013 v. 2015
11,0.5469999999999999,0.808106196479135,0.8225,0.853,clpx_watertracks_creek,CLPX,2012 v. 2015
12,0.813,0.9002507045766874,0.8065,0.87,clpx_watertracks_creek,CLPX,2013 v. 2016
13,0.667,0.856390199074045,0.8165,0.862,clpx_watertracks_creek,CLPX,2012 v. 2016
14,0.618,0.8691676031735955,0.8245,0.883,clpx_watertracks_creek,CLPX,2012 v. 2013
0,0.645,0.8677331443274359,0.8665,0.84,hv_lake,Happy Valley,2015 v. 2016
1,0.7559999999999999,0.9121707662833771,0.8400000000000001,0.888,hv_lake,Happy Valley,2012 v. 2016
