Winters,clpx_lake_e,clpx_outcrops,clpx_swale,clpx_watertracks_creek,hv_lake,hv_polygon_cracks,hv_stream,hv_watertrack
2012 v. 2013,0.846,0.868,0.9159999999999999,0.883,0.877,0.8809999999999999,0.863,0.888
2012 v. 2015,0.835,0.8320000000000001,0.83,0.853,0.853,0.893,0.868,0.85
2012 v. 2016,0.841,0.831,0.8640000000000001,0.862,0.888,0.9059999999999999,0.8740000000000001,0.87
2012 v. 2017,0.845,0.8690000000000001,0.893,0.88,0.893,0.9079999999999999,0.884,0.892
2012 v. 2018,0.846,0.833,0.8690000000000001,0.88,0.8740000000000001,0.893,0.865,0.863
2013 v. 2015,0.835,0.835,0.8290000000000001,0.855,0.845,0.87,0.8540000000000001,0.845
2013 v. 2016,0.848,0.8390000000000001,0.863,0.87,0.861,0.8690000000000001,0.8540000000000001,0.8540000000000001
2013 v. 2017,0.86,0.857,0.8909999999999999,0.893,0.872,0.8740000000000001,0.86,0.8759999999999999
2013 v. 2018,0.852,0.838,0.867,0.893,0.863,0.872,0.855,0.858
2015 v. 2016,0.836,0.833,0.841,0.852,0.84,0.878,0.858,0.83
2015 v. 2017,0.833,0.8280000000000001,0.833,0.856,0.84,0.884,0.865,0.843
2015 v. 2018,0.843,0.8370000000000001,0.8420000000000001,0.858,0.846,0.884,0.865,0.875
2016 v. 2017,0.8420000000000001,0.8240000000000001,0.861,0.867,0.871,0.889,0.8690000000000001,0.857
2016 v. 2018,0.845,0.8420000000000001,0.863,0.8690000000000001,0.857,0.8759999999999999,0.857,0.836
2017 v. 2018,0.857,0.8340000000000001,0.865,0.888,0.8690000000000001,0.884,0.8640000000000001,0.858
