Winters,clpx_lake_e,clpx_outcrops,clpx_swale,clpx_watertracks_creek,hv_lake,hv_polygon_cracks,hv_stream,hv_watertrack
2012 v. 2013,0.154,0.132,0.084,0.11699999999999999,0.12300000000000001,0.11900000000000001,0.13699999999999998,0.11199999999999999
2012 v. 2015,0.165,0.168,0.17,0.147,0.147,0.107,0.132,0.15
2012 v. 2016,0.159,0.16899999999999998,0.136,0.138,0.11199999999999999,0.094,0.126,0.13
2012 v. 2017,0.155,0.131,0.107,0.12,0.107,0.092,0.11599999999999999,0.10800000000000001
2012 v. 2018,0.154,0.16699999999999998,0.131,0.12,0.126,0.107,0.135,0.13699999999999998
2013 v. 2015,0.165,0.165,0.171,0.145,0.155,0.13,0.146,0.155
2013 v. 2016,0.152,0.161,0.13699999999999998,0.13,0.139,0.131,0.146,0.146
2013 v. 2017,0.14,0.14300000000000002,0.109,0.107,0.128,0.126,0.14,0.124
2013 v. 2018,0.14800000000000002,0.162,0.133,0.107,0.13699999999999998,0.128,0.145,0.142
2015 v. 2016,0.16399999999999998,0.16699999999999998,0.159,0.14800000000000002,0.16,0.122,0.142,0.17
2015 v. 2017,0.16699999999999998,0.172,0.16699999999999998,0.14400000000000002,0.16,0.11599999999999999,0.135,0.157
2015 v. 2018,0.157,0.163,0.158,0.142,0.154,0.11599999999999999,0.135,0.125
2016 v. 2017,0.158,0.17600000000000002,0.139,0.133,0.129,0.111,0.131,0.14300000000000002
2016 v. 2018,0.155,0.158,0.13699999999999998,0.131,0.14300000000000002,0.124,0.14300000000000002,0.16399999999999998
2017 v. 2018,0.14300000000000002,0.166,0.135,0.11199999999999999,0.131,0.11599999999999999,0.136,0.142
