,NRMSE Rank,SSIM Rank,CW-SSIM Rank,GMS Rank,Avg. Rank
2016 v. 2015,10.5,4.0,10.0,12.0,9.125
2016 v. 2018,12.5,2.0,11.0,7.5,8.25
2016 v. 2017,5.0,5.0,8.5,10.0,7.125
2016 v. 2012,12.5,10.0,12.5,11.0,11.5
2016 v. 2013,7.5,11.0,4.0,4.0,6.625
2015 v. 2018,1.5,9.0,2.0,9.0,5.375
2015 v. 2017,7.5,3.0,6.5,15.0,8.0
2015 v. 2012,1.5,12.0,3.0,13.5,7.5
2015 v. 2013,10.5,6.0,8.5,13.5,9.625
2018 v. 2017,4.0,8.0,1.0,2.0,3.75
2018 v. 2012,6.0,7.0,5.0,5.5,5.875
2018 v. 2013,14.0,14.0,12.5,3.0,10.875
2017 v. 2012,9.0,13.0,15.0,7.5,11.125
2017 v. 2013,3.0,1.0,6.5,1.0,2.875
2012 v. 2013,15.0,15.0,14.0,5.5,12.375
