,nrmse,ssim,cwssim,gms
2016 v. 2015,0.898,0.7177394122128962,0.7965,0.836
2016 v. 2018,0.897,0.7502063163464032,0.7955,0.845
2016 v. 2017,0.918,0.7127790775544651,0.798,0.842
2016 v. 2012,0.897,0.6989145687039701,0.7949999999999999,0.841
2016 v. 2013,0.907,0.6607983465369038,0.8029999999999999,0.848
2015 v. 2018,0.929,0.702139626834916,0.812,0.843
2015 v. 2017,0.907,0.7273558915518176,0.8005,0.833
2015 v. 2012,0.929,0.6601902374799907,0.8035,0.835
2015 v. 2013,0.898,0.7101791496445387,0.798,0.835
2018 v. 2017,0.919,0.7026495851244426,0.8260000000000001,0.857
2018 v. 2012,0.912,0.7098132549149998,0.8009999999999999,0.846
2018 v. 2013,0.873,0.6106537185010289,0.7949999999999999,0.852
2017 v. 2012,0.899,0.64663942990926,0.7905,0.845
2017 v. 2013,0.92,0.7904307190926221,0.8005,0.86
2012 v. 2013,0.871,0.5928883579557166,0.7945,0.846
