,NRMSE Rank,SSIM Rank,CW-SSIM Rank,GMS Rank,Avg. Rank
2012 v. 2018,15.0,13.0,5.0,10.5,10.875
2012 v. 2016,1.0,8.0,3.0,13.0,6.25
2012 v. 2013,11.5,4.0,2.0,2.0,4.875
2012 v. 2015,8.5,11.0,4.0,12.0,8.875
2012 v. 2017,11.5,2.0,7.0,1.0,5.375
2018 v. 2016,5.5,15.0,14.0,4.0,9.625
2018 v. 2013,14.0,9.0,10.0,6.0,9.75
2018 v. 2015,7.0,12.0,7.0,7.0,8.25
2018 v. 2017,5.5,1.0,1.0,9.0,4.125
2016 v. 2013,2.5,5.0,9.0,5.0,5.375
2016 v. 2015,2.5,14.0,13.0,10.5,10.0
2016 v. 2017,4.0,6.0,15.0,15.0,10.0
2013 v. 2015,10.0,10.0,7.0,8.0,8.75
2013 v. 2017,13.0,3.0,11.0,3.0,7.5
2015 v. 2017,8.5,7.0,12.0,14.0,10.375
