,nrmse,ssim,cwssim,gms
2012 v. 2018,0.925,0.8263323824880577,0.866,0.833
2012 v. 2016,0.965,0.8403144177688011,0.869,0.831
2012 v. 2013,0.933,0.8560841483946517,0.8725,0.868
2012 v. 2015,0.942,0.8284132214420674,0.8674999999999999,0.832
2012 v. 2017,0.933,0.8711768004017382,0.8605,0.869
2018 v. 2016,0.951,0.8169613162791591,0.8425,0.842
2018 v. 2013,0.927,0.8369593638282808,0.8525,0.838
2018 v. 2015,0.949,0.8279354519474522,0.8605,0.837
2018 v. 2017,0.951,0.8714494796037895,0.8795,0.834
2016 v. 2013,0.964,0.8558880684776187,0.8545,0.839
2016 v. 2015,0.964,0.8183600880992173,0.8454999999999999,0.833
2016 v. 2017,0.952,0.8483508854827285,0.8415,0.8240000000000001
2013 v. 2015,0.934,0.8286897737560722,0.8605,0.835
2013 v. 2017,0.928,0.8641633019462232,0.848,0.857
2015 v. 2017,0.942,0.8403376210965593,0.847,0.8280000000000001
