,NRMSE Rank,SSIM Rank,CW-SSIM Rank,GMS Rank,Avg. Rank
2018 v. 2015,11.0,13.0,13.0,11.0,12.0
2018 v. 2013,8.0,5.0,7.0,5.0,6.25
2018 v. 2012,9.0,4.0,3.0,4.0,5.0
2018 v. 2017,4.0,8.0,5.0,6.0,5.75
2018 v. 2016,10.0,10.0,9.0,8.5,9.375
2015 v. 2013,5.0,11.0,12.0,15.0,10.75
2015 v. 2012,13.0,12.0,8.0,14.0,11.75
2015 v. 2017,15.0,14.0,15.0,13.0,14.25
2015 v. 2016,14.0,15.0,14.0,12.0,13.75
2013 v. 2012,2.0,1.0,1.0,1.0,1.25
2013 v. 2017,12.0,6.0,10.0,3.0,7.75
2013 v. 2016,6.5,7.0,4.0,8.5,6.5
2012 v. 2017,6.5,2.0,6.0,2.0,4.125
2012 v. 2016,1.0,3.0,2.0,7.0,3.25
2017 v. 2016,3.0,9.0,11.0,10.0,8.25
