,nrmse,ssim,cwssim,gms
2018 v. 2015,0.6910000000000001,0.8183222292815151,0.8015,0.842
2018 v. 2013,0.716,0.8930996794839909,0.7695000000000001,0.867
2018 v. 2012,0.706,0.8934462485902077,0.804,0.869
2018 v. 2017,0.76,0.8801816209653655,0.8340000000000001,0.865
2018 v. 2016,0.7090000000000001,0.8591400772026967,0.7909999999999999,0.863
2015 v. 2013,0.775,0.8499109148748489,0.7965,0.829
2015 v. 2012,0.6719999999999999,0.8332129721656254,0.815,0.83
2015 v. 2017,0.612,0.8057045611001692,0.8,0.833
2015 v. 2016,0.643,0.8012042578306782,0.8145,0.841
2013 v. 2012,0.783,0.9352546991977315,0.8089999999999999,0.916
2013 v. 2017,0.645,0.8934732479106647,0.772,0.891
2013 v. 2016,0.73,0.8861300970692711,0.806,0.863
2012 v. 2017,0.6599999999999999,0.9059992627623097,0.7985,0.893
2012 v. 2016,0.76,0.8931131245710429,0.8140000000000001,0.864
2017 v. 2016,0.722,0.8750537066233566,0.7945,0.861
