,NRMSE Rank,SSIM Rank,CW-SSIM Rank,GMS Rank,Avg. Rank
2017 v. 2018,3.0,2.0,2.0,3.0,2.5
2017 v. 2015,1.5,8.0,13.0,12.0,8.625
2017 v. 2016,7.5,5.0,14.0,9.0,8.875
2017 v. 2013,6.0,1.0,6.0,1.5,3.625
2017 v. 2012,13.0,12.0,4.0,5.5,8.625
2018 v. 2015,4.5,9.0,10.5,11.0,8.75
2018 v. 2016,11.0,7.0,12.0,8.0,9.5
2018 v. 2013,10.0,3.0,5.0,1.5,4.875
2018 v. 2012,15.0,14.0,3.0,5.5,9.375
2015 v. 2016,7.5,13.0,15.0,15.0,12.625
2015 v. 2013,4.5,6.0,10.5,13.0,8.5
2015 v. 2012,14.0,15.0,9.0,14.0,13.0
2016 v. 2013,1.5,4.0,8.0,7.0,5.125
2016 v. 2012,9.0,11.0,7.0,10.0,9.25
2013 v. 2012,12.0,10.0,1.0,4.0,6.75
