,nrmse,ssim,cwssim,gms
2017 v. 2018,0.812,0.9161511610467163,0.8485,0.888
2017 v. 2015,0.831,0.8700883063003044,0.8160000000000001,0.856
2017 v. 2016,0.763,0.8865348832539115,0.8015,0.867
2017 v. 2013,0.795,0.9191759916037019,0.7949999999999999,0.893
2017 v. 2012,0.562,0.8497202874845906,0.819,0.88
2018 v. 2015,0.81,0.869377389877699,0.808,0.858
2018 v. 2016,0.6910000000000001,0.8748922466745277,0.7949999999999999,0.869
2018 v. 2013,0.736,0.9121578558646252,0.7835,0.893
2018 v. 2012,0.505,0.8290973789116035,0.8140000000000001,0.88
2015 v. 2016,0.759,0.8461442484676416,0.8109999999999999,0.852
2015 v. 2013,0.8,0.874226685330225,0.812,0.855
2015 v. 2012,0.5469999999999999,0.808106196479135,0.8225,0.853
2016 v. 2013,0.813,0.9002507045766874,0.8065,0.87
2016 v. 2012,0.667,0.856390199074045,0.8165,0.862
2013 v. 2012,0.618,0.8691676031735955,0.8245,0.883
