,NRMSE Rank,SSIM Rank,CW-SSIM Rank,GMS Rank,Avg. Rank
2016 v. 2015,12.0,8.0,6.0,14.5,10.125
2016 v. 2012,6.0,3.0,1.0,2.0,3.0
2016 v. 2017,10.5,5.0,13.5,6.0,8.75
2016 v. 2018,13.0,14.0,15.0,10.0,13.0
2016 v. 2013,7.0,6.0,12.0,9.0,8.5
2015 v. 2012,14.0,7.0,3.5,11.0,8.875
2015 v. 2017,10.5,12.0,13.5,14.5,12.625
2015 v. 2018,15.0,15.0,11.0,12.0,13.25
2015 v. 2013,9.0,11.0,10.0,13.0,10.75
2012 v. 2017,4.0,1.0,5.0,1.0,2.75
2012 v. 2018,8.0,9.0,3.5,4.0,6.125
2012 v. 2013,3.0,2.0,2.0,3.0,2.5
2017 v. 2018,1.5,10.0,7.0,7.0,6.375
2017 v. 2013,1.5,4.0,9.0,5.0,4.875
2018 v. 2013,5.0,13.0,8.0,8.0,8.5
