,nrmse,ssim,cwssim,gms
2016 v. 2015,0.886,0.8741588303709339,0.8420000000000001,0.84
2016 v. 2012,0.918,0.9165061584056482,0.849,0.888
2016 v. 2017,0.891,0.8840674579846148,0.8145,0.871
2016 v. 2018,0.881,0.8149074402353917,0.8055,0.857
2016 v. 2013,0.916,0.8839040258206761,0.815,0.861
2015 v. 2012,0.877,0.8749905327106634,0.844,0.853
2015 v. 2017,0.891,0.8519625802716263,0.8145,0.84
2015 v. 2018,0.875,0.7969343012275836,0.817,0.846
2015 v. 2013,0.904,0.8523988141103646,0.821,0.845
2012 v. 2017,0.927,0.9273269354682936,0.8425,0.893
2012 v. 2018,0.914,0.8605808475251437,0.844,0.874
2012 v. 2013,0.941,0.916556847474046,0.846,0.877
2017 v. 2018,0.942,0.8593678771764914,0.8405,0.869
2017 v. 2013,0.942,0.9051242800273418,0.8375,0.872
2018 v. 2013,0.926,0.8397473200813559,0.8395,0.863
