,NRMSE Rank,SSIM Rank,CW-SSIM Rank,GMS Rank,Avg. Rank
2018 v. 2015,15.0,14.0,8.0,7.0,11.0
2018 v. 2012,8.0,3.0,5.0,3.5,4.875
2018 v. 2013,6.0,12.0,9.0,13.0,10.0
2018 v. 2017,3.0,6.0,6.5,7.0,5.625
2018 v. 2016,10.0,10.0,14.0,11.0,11.25
2015 v. 2012,14.0,8.0,1.0,3.5,6.625
2015 v. 2013,13.0,15.0,12.0,14.0,13.5
2015 v. 2017,12.0,13.0,6.5,7.0,9.625
2015 v. 2016,11.0,9.0,4.0,10.0,8.5
2012 v. 2013,4.0,5.0,10.0,9.0,7.0
2012 v. 2017,1.5,1.0,3.0,1.0,1.625
2012 v. 2016,5.0,2.0,2.0,2.0,2.75
2013 v. 2017,1.5,7.0,11.0,12.0,7.875
2013 v. 2016,9.0,11.0,15.0,15.0,12.5
2017 v. 2016,7.0,4.0,13.0,5.0,7.25
