,nrmse,ssim,cwssim,gms
2018 v. 2015,0.43799999999999994,0.8731949828523662,0.858,0.884
2018 v. 2012,0.794,0.9280404110060876,0.8365,0.893
2018 v. 2013,0.802,0.8969367938685835,0.854,0.872
2018 v. 2017,0.8220000000000001,0.9189615996196363,0.8895,0.884
2018 v. 2016,0.722,0.8977294389577188,0.7585,0.876
2015 v. 2012,0.6619999999999999,0.9029801579915782,0.866,0.893
2015 v. 2013,0.65,0.8647015745008497,0.848,0.87
2015 v. 2017,0.685,0.8927730855930789,0.8795,0.884
2015 v. 2016,0.721,0.8998996865072114,0.8225,0.878
2012 v. 2013,0.832,0.9198574824700552,0.841,0.881
2012 v. 2017,0.846,0.9446121266098841,0.8614999999999999,0.908
2012 v. 2016,0.832,0.943404252662102,0.8315,0.906
2013 v. 2017,0.833,0.9067462809688178,0.877,0.874
2013 v. 2016,0.784,0.8974374475674536,0.776,0.869
2017 v. 2016,0.8140000000000001,0.9226705316831547,0.7835,0.889
