,NRMSE Rank,SSIM Rank,CW-SSIM Rank,GMS Rank,Avg. Rank
2015 v. 2017,12.0,10.0,5.0,6.0,8.25
2015 v. 2012,14.0,11.0,2.0,4.0,7.75
2015 v. 2016,10.5,8.0,1.0,11.0,7.625
2015 v. 2013,13.0,13.0,14.0,14.5,13.625
2015 v. 2018,15.0,15.0,9.0,6.0,11.25
2017 v. 2012,4.0,1.0,3.0,1.0,2.25
2017 v. 2016,9.0,6.0,7.0,3.0,6.25
2017 v. 2013,2.0,3.0,11.0,10.0,6.5
2017 v. 2018,1.0,5.0,6.0,8.0,5.0
2012 v. 2016,8.0,2.0,4.0,2.0,4.0
2012 v. 2013,4.0,4.0,12.0,9.0,7.25
2012 v. 2018,6.0,7.0,8.0,6.0,6.75
2016 v. 2013,7.0,9.0,15.0,14.5,11.375
2016 v. 2018,10.5,14.0,13.0,12.0,12.375
2013 v. 2018,4.0,12.0,10.0,13.0,9.75
