,nrmse,ssim,cwssim,gms
2015 v. 2017,0.966,0.8644741865716014,0.8220000000000001,0.865
2015 v. 2012,0.961,0.8617995264627357,0.8285,0.868
2015 v. 2016,0.971,0.8723437715898258,0.8340000000000001,0.858
2015 v. 2013,0.965,0.846563319710405,0.8049999999999999,0.854
2015 v. 2018,0.958,0.8344954473834985,0.817,0.865
2017 v. 2012,0.981,0.9116710458559163,0.8275,0.884
2017 v. 2016,0.975,0.8853570091917027,0.8195,0.869
2017 v. 2013,0.984,0.890897741666637,0.8140000000000001,0.86
2017 v. 2018,0.985,0.8865510180798648,0.8205,0.864
2012 v. 2016,0.978,0.8934626085501766,0.8255,0.874
2012 v. 2013,0.981,0.8895207814588897,0.8095,0.863
2012 v. 2018,0.98,0.8783440280360099,0.8175,0.865
2016 v. 2013,0.979,0.8697822201851297,0.7969999999999999,0.854
2016 v. 2018,0.971,0.8426700940967917,0.8065,0.857
2013 v. 2018,0.981,0.8617918671520064,0.815,0.855
