,NRMSE Rank,SSIM Rank,CW-SSIM Rank,GMS Rank,Avg. Rank
2013 v. 2015,14.0,13.0,11.0,12.0,12.5
2013 v. 2017,1.0,3.0,7.0,3.0,3.5
2013 v. 2018,5.0,6.0,8.0,7.5,6.625
2013 v. 2016,8.0,9.0,14.0,10.0,10.25
2013 v. 2012,3.0,2.0,2.5,2.0,2.375
2015 v. 2017,13.0,12.0,12.0,13.0,12.5
2015 v. 2018,15.0,14.0,10.0,4.0,10.75
2015 v. 2016,10.0,11.0,9.0,15.0,11.25
2015 v. 2012,12.0,10.0,1.0,11.0,8.5
2017 v. 2018,3.0,5.0,6.0,7.5,5.375
2017 v. 2016,9.0,8.0,13.0,9.0,9.75
2017 v. 2012,3.0,1.0,4.0,1.0,2.25
2018 v. 2016,11.0,15.0,15.0,14.0,13.75
2018 v. 2012,7.0,7.0,5.0,6.0,6.25
2016 v. 2012,6.0,4.0,2.5,5.0,4.375
