,nrmse,ssim,cwssim,gms
2013 v. 2015,0.473,0.8136596053957991,0.903,0.845
2013 v. 2017,0.812,0.9027617623825817,0.9185,0.876
2013 v. 2018,0.729,0.8567806718622468,0.9219999999999999,0.858
2013 v. 2016,0.661,0.8466664397591777,0.85,0.854
2013 v. 2012,0.787,0.9074527157084407,0.905,0.888
2015 v. 2017,0.619,0.8169408146158328,0.886,0.843
2015 v. 2018,0.554,0.8034319830418089,0.8845000000000001,0.875
2015 v. 2016,0.728,0.8268313820125084,0.9079999999999999,0.83
2015 v. 2012,0.632,0.8389771187284591,0.9305,0.85
2017 v. 2018,0.776,0.863601053938286,0.9275,0.858
2017 v. 2016,0.641,0.8491277400100017,0.8400000000000001,0.857
2017 v. 2012,0.79,0.9133989011421311,0.8985000000000001,0.892
2018 v. 2016,0.522,0.7772684813741685,0.8160000000000001,0.836
2018 v. 2012,0.7050000000000001,0.8577461329011116,0.897,0.863
2016 v. 2012,0.7110000000000001,0.8755173173235309,0.8895,0.87
