DateTime,1 m Wind Speed (m/s),3 m Wind Speed (m/s),10 m Wind Speed (m/s),Wind Direction (deg. True North),1 m Air Temp (deg. C),1 m RH (%),Pressure (mb)
1/1/2011 1:00,1,1.3,1.6,329,-38.3,66,975
1/1/2011 2:00,0.7,1.1,1.3,102,-38.8,66,975
1/1/2011 3:00,0.8,1,1.3,119,-38.4,66,975
1/1/2011 4:00,1.4,1.9,2.3,157,-37.6,67,975
1/1/2011 5:00,1.6,2.1,2.7,154,-35.2,70,975
1/1/2011 6:00,1,1.3,1.6,132,-34.4,70,975
1/1/2011 7:00,0.9,1.2,1.5,134,-33.9,71,975
1/1/2011 8:00,0.9,1,1.3,216,-33.1,72,975
1/1/2011 9:00,1.5,1.9,2.4,145,-27.5,78,975
1/1/2011 10:00,1.4,1.8,2.2,160,-24.4,81,975
1/1/2011 11:00,0.9,1.3,1.8,69,-24.1,81,975
1/1/2011 12:00,1.5,2.1,2.4,120,-23.2,83,975
1/1/2011 13:00,0.8,1.3,1.8,75,-19.9,86,975
1/1/2011 14:00,1.2,1.8,2.8,106,-18.1,86,975
1/1/2011 15:00,2,3,4.7,114,-17.6,87,975
1/1/2011 16:00,2.5,3.8,5.4,124,-15.9,86,974
1/1/2011 17:00,1.5,2.2,2.6,165,-15,88,974
1/1/2011 18:00,1.6,2.3,3,169,-10.4,89,974
1/1/2011 19:00,3.3,4.5,6.2,136,-11.1,89,974
1/1/2011 20:00,5,6.6,8.6,127,-12.5,87,974
1/1/2011 21:00,4.1,5.2,7.3,142,-9.4,87,974
1/1/2011 22:00,4.6,5.7,7.7,143,-7.4,86,974
1/1/2011 23:00,5.8,7,8.6,138,-5.5,86,974
1/2/2011 0:00,5.4,6.5,8.1,135,-4.5,83,973
1/2/2011 1:00,6.5,7.5,9.1,136,-3.6,84,974
1/2/2011 2:00,5.6,6.6,8.1,169,-1.5,77,973
1/2/2011 3:00,6,7,8.7,148,-3.1,79,973
1/2/2011 4:00,5.9,6.9,8.8,143,-3.5,78,973
1/2/2011 5:00,7.1,8.2,10.3,153,-3.8,80,973
1/2/2011 6:00,8.3,9.6,12,157,-3.7,80,973
1/2/2011 7:00,8.7,10.1,12.7,155,-3.8,80,973
1/2/2011 8:00,6.2,7.3,9.3,147,-4.6,80,974
1/2/2011 9:00,6.1,7.1,9.2,157,-3.9,79,974
1/2/2011 10:00,5.4,6.3,8.2,151,-4.2,79,974
1/2/2011 11:00,6.9,8.2,10.7,155,-3.8,78,974
1/2/2011 12:00,7.8,9.2,11.7,180,-3.3,82,974
1/2/2011 13:00,8.5,10.1,12.9,179,-2.7,80,975
1/2/2011 14:00,7,8.1,10.3,172,-2.9,80,975
1/2/2011 15:00,4,4.8,6,172,-1.9,68,975
1/2/2011 16:00,4,4.8,5.8,160,-2.5,71,976
1/2/2011 17:00,5.4,6.2,7.9,179,-1.7,72,976
1/2/2011 18:00,5.6,6.6,8.3,185,-1.3,73,976
1/2/2011 19:00,5.5,6.4,8.3,170,-1.5,74,976
1/2/2011 20:00,4.9,5.7,6.9,135,-1.2,71,976
1/2/2011 21:00,7.6,8.7,10.8,149,-1.4,75,976
1/2/2011 22:00,6,7.1,9.2,158,-2.1,74,976
1/2/2011 23:00,4.6,5.7,7.1,178,-2,69,976
1/3/2011 0:00,3.7,4.6,5.9,150,-2.7,72,976
1/3/2011 1:00,5.5,6.5,8.2,166,-1.7,72,976
1/3/2011 2:00,4.5,5.4,6.9,162,-1.8,70,976
1/3/2011 3:00,5,5.8,7.4,181,-1.4,69,976
1/3/2011 4:00,4.3,5.1,6.2,145,-1.6,70,976
1/3/2011 5:00,5.8,6.6,8.4,142,-1.2,69,975
1/3/2011 6:00,7.7,8.7,10.4,127,-1.1,69,975
1/3/2011 7:00,7.2,8.2,10,141,-1.4,74,975
1/3/2011 8:00,6.8,7.8,9.8,156,-1.6,75,975
1/3/2011 9:00,5.4,6.3,8,160,-1.7,74,975
1/3/2011 10:00,5.2,6,7.4,173,-1.3,67,975
1/3/2011 11:00,5.9,6.8,8.4,165,-1.8,72,975
1/3/2011 12:00,7.5,8.6,10.5,151,-2,75,974
1/3/2011 13:00,5.6,6.4,8.2,162,-2.1,73,974
1/3/2011 14:00,4,4.9,5.9,172,-2.6,69,974
1/3/2011 15:00,3.5,4.5,5.2,162,-4.3,70,974
1/3/2011 16:00,3.5,4.4,4.9,159,-4.6,70,974
1/3/2011 17:00,3.5,4.5,5.8,145,-5.5,70,974
