Draft Data Set,,,,,,,,,,,,,
Imnavait Met Site,,,,,,,,,,,,,
2014 Met Data,,,,,,,,,,,,,
,,,,,,,,,,,,,
6999 = missing,,,,,,,,,,,,,
7777 = not measured,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,1 meter,3 meter,10 meter,,1 meter,3 meter,10 meter,,,,,
,,Wind ,Wind ,Wind ,Wind ,Air,Air,Air,1 meter,3 meter,10 meter,Station,
Day of Year,Date Time ,Speed,Speed,Speed,Direction,Temperature,Temperature,Temperature,RH,RH,RH,Pressure,Rainfall
(AST),(AST),(m/s),(m/s),(m/s),(° True North),(°C),(°C),(°C),(%),(%),(%),(mb),(mm)
1.04,1/1/2014 1:00,8.7,10.0,12.2,142.9,-10.6,-10.09,-9.07,59.03,53.89,45.97,977,6999
1.08,1/1/2014 2:00,9.4,10.8,13.1,144.1,-10.47,-9.98,-9.01,62.46,57.26,49.29,977,6999
1.13,1/1/2014 3:00,9.5,11.0,13.3,143.2,-10.28,-9.79,-8.86,64.1,59.19,51.43,977,6999
1.17,1/1/2014 4:00,9.0,10.5,12.9,142.8,-9.95,-9.43,-8.44,62.28,57.43,49.25,976,6999
1.21,1/1/2014 5:00,8.4,9.7,12.0,136.8,-9.95,-9.41,-8.34,60.13,55.5,47.01,976,6999
1.25,1/1/2014 6:00,7.9,8.9,11.3,131.9,-9.9,-9.22,-8,56.03,50.96,42.18,976,6999
1.29,1/1/2014 7:00,6.9,7.2,10.3,133.2,-9.71,-8.9,-7.34,51.67,46.68,36.96,976,6999
1.33,1/1/2014 8:00,7.3,8.3,11.1,137.2,-9.05,-8.27,-6.596,53.25,47.79,36.09,975,6999
1.38,1/1/2014 9:00,5.8,6.8,9.1,142.6,-9.12,-8.32,-6.537,49.93,45.68,35.14,975,6999
1.42,1/1/2014 10:00,6.2,7.2,9.2,132.8,-8.95,-8.21,-6.746,52.63,48.8,40.18,975,6999
1.46,1/1/2014 11:00,6.8,7.9,9.9,125.1,-9.5,-8.77,-7.38,54.1,49.7,41.04,975,6999
1.50,1/1/2014 12:00,7.6,8.8,11.0,122.2,-9.79,-9.17,-7.81,55.56,50.81,40.88,974,6999
1.54,1/1/2014 13:00,7.2,8.3,10.5,126.9,-9.65,-8.99,-7.57,56.39,51.86,42.28,974,6999
1.58,1/1/2014 14:00,7.3,8.4,10.4,125.9,-9.05,-8.44,-7.19,57.29,52.65,43.6,974,6999
1.63,1/1/2014 15:00,7.0,8.0,9.8,128.2,-8.78,-8.31,-7.48,60.88,57.11,50.23,974,6999
1.67,1/1/2014 16:00,6.6,7.5,9.4,140.2,-8.44,-8.12,-7.36,62.73,59.38,52.44,974,6999
1.71,1/1/2014 17:00,7.0,8.0,9.8,137.1,-8.33,-8.03,-7.36,63.88,60.22,53.62,974,6999
1.75,1/1/2014 18:00,7.1,8.1,9.8,135,-8.36,-7.98,-7.25,63.07,59.19,51.75,974,6999
1.79,1/1/2014 19:00,7.8,8.9,10.9,137.2,-8.35,-8,-7.28,64.25,59.87,52.06,974,6999
1.83,1/1/2014 20:00,6.4,7.3,9.1,134.5,-8.19,-7.9,-7.19,65.5,62.31,55.42,974,6999
1.88,1/1/2014 21:00,6.1,7.0,8.8,132.9,-8.27,-7.98,-7.18,66.23,63.13,55.31,974,6999
1.92,1/1/2014 22:00,4.5,5.3,6.8,143.1,-8.04,-7.68,-6.847,63.56,60.72,53.79,975,6999
1.96,1/1/2014 23:00,3.8,4.5,6.0,148.3,-8.22,-7.92,-7.13,63.2,60.9,53.92,975,6999
2.00,1/2/2014 0:00,2.9,3.5,4.3,157.2,-8.78,-8.12,-7.39,58.8,54.95,50.38,975,6999
2.04,1/2/2014 1:00,2.7,3.4,4.0,157.6,-9.02,-8.18,-7.05,63.18,58.05,51.56,976,6999
2.08,1/2/2014 2:00,2.3,3.3,4.1,162,-8.96,-8.21,-7.05,63.54,58.69,51.44,976,6999
2.13,1/2/2014 3:00,3.8,4.6,5.8,155.7,-8.87,-8.43,-7.34,61.17,57.94,50.48,976,6999
2.17,1/2/2014 4:00,3.9,4.7,6.3,142.4,-10.48,-9.85,-8.16,64.87,61.63,52,977,6999
